,instance,Type,Formula,Engine,States,Transitions,Parameters,Solution,Model parse [s],Model instantiate [s],Model verify [s],Num. derivatives,Differentiate one [s],Differentiate explicitly [s],LP (define matrices) [s],LP (solve) [s],Max. derivatives,Argmax. derivatives,Max. validation,Difference %
0,"grid(400,100,double)",pMC,"Rmin=? [F ""goal""]",spsolve,319999,959995,100,3.155,34.54372,24.289099,4.498,1,4.49091,449.091,79.388944,476.251,8.20e-01,v36,8.19e-01,-0.001
1,"grid(400,1000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,319999,959995,1000,3.174,34.89516,24.949478,4.460,1,4.452741,"4,452.741",80.125091,561.296,8.09e-01,v809,8.08e-01,-0.001
