,instance,Type,Formula,Engine,States,Transitions,Parameters,Solution,Model parse [s],Model instantiate [s],Model verify [s],Num. derivatives,Differentiate one [s],Differentiate explicitly [s],LP (define matrices) [s],LP (solve) [s],Max. derivatives,Argmax. derivatives,Max. validation,Difference %
2,"grid(200,100,double)",pMC,"Rmin=? [F ""goal""]",spsolve,79999,239995,100,8.161,8.635149,6.121578,0.566,1,0.5638219999999999,56.382,19.855599,34.286,1.96e+00,v27,1.96e+00,-0.001
1,"grid(200,1000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,79999,239995,1000,7.922,8.784866,6.151996,0.575,1,0.5722579999999999,572.258,19.838385,41.193,2.03e+00,v843,2.03e+00,-0.000
0,"grid(200,100,double)",prMC,"Rmin=? [F ""goal""]",spsolve,79999,239995,100,"4,349.036",0.0,39.38501,"1,619.877",1,0.795322,79.532,4.719791,30.990,1.21e-01,param10,1.21e-01,0.000
