;0
0;0.441927073
1;0.440496285
2;0.43930557
3;0.437904049
4;0.436351827
5;0.4356337
6;0.435426688
7;0.435413495
8;0.433076795
9;0.434111686
10;0.433442369
11;0.434079811
12;0.433590616
13;0.432466249
14;0.430710141
15;0.431774187
16;0.430251081
17;0.427866641
18;0.428210836
19;0.428285042
20;0.427256367
21;0.425701406
22;0.424654682
23;0.424446558
24;0.423337902
25;0.421605664
26;0.421408021
27;0.420133378
28;0.42100783
29;0.420898374
30;0.420688688
31;0.420822139
32;0.420224945
33;0.419792226
34;0.41945711
35;0.419647945
36;0.419278494
37;0.418790497
38;0.41856988
39;0.418975507
40;0.418694169
41;0.418378632
42;0.418539848
43;0.417623728
44;0.416658061
45;0.41647081
46;0.416493251
47;0.4156567
48;0.416072333
49;0.415385488
50;0.415271907
51;0.415010408
52;0.414703968
53;0.415450148
54;0.416329828
55;0.415771739
56;0.415773615
57;0.415508868
58;0.414977089
59;0.414260204
60;0.414233631
61;0.414130013
62;0.413152217
63;0.412675372
64;0.41184167
65;0.411903349
66;0.411731086
67;0.41213847
68;0.412521022
69;0.411959794
70;0.411106217
71;0.410293491
72;0.409875307
73;0.410321972
74;0.410062981
75;0.409594442
76;0.408593356
77;0.40870726
78;0.408475515
79;0.407944488
80;0.406940143
81;0.40659106
82;0.406431747
83;0.406540624
84;0.406649491
85;0.406207693
86;0.405749341
87;0.40548405
88;0.404798776
89;0.404595318
90;0.405108528
91;0.404671304
92;0.40452549
93;0.404084435
94;0.403764109
95;0.403870743
96;0.403181666
97;0.403176125
98;0.402153078
99;0.401766151
100;0.402418012
101;0.402068112
102;0.402123532
103;0.401977528
104;0.400929913
105;0.400273955
106;0.400220687
107;0.400074595
108;0.399721358
109;0.399709044
110;0.399408686
111;0.398996543
112;0.398708217
113;0.398696393
114;0.398678809
115;0.398275643
116;0.397975689
117;0.398179364
118;0.397941054
119;0.398226333
120;0.397700843
121;0.397178765
122;0.397102224
123;0.396211596
124;0.396078473
125;0.395710275
126;0.395845004
127;0.394800614
128;0.394863351
129;0.394582196
130;0.394403389
131;0.39441131
132;0.394149621
133;0.394604764
134;0.394636247
135;0.394528543
136;0.394333759
137;0.39412027
138;0.393658195
139;0.39356369
140;0.39341272
141;0.393716522
142;0.393487348
143;0.393151584
144;0.393292381
145;0.393051035
146;0.393120142
147;0.392509249
148;0.392775965
149;0.392624781
150;0.393366675
151;0.392911931
152;0.392499443
153;0.392789012
154;0.392489046
155;0.392683101
156;0.392861479
157;0.392461508
158;0.392452168
159;0.3923149
160;0.391769563
161;0.391649572
162;0.391508688
163;0.391285269
164;0.391086377
165;0.391512418
166;0.391514293
167;0.390814622
168;0.39070023
169;0.39073592
170;0.391093531
171;0.390966164
172;0.391068407
173;0.390745563
174;0.389722132
175;0.389353287
176;0.389458197
177;0.389262406
178;0.388922613
179;0.388641469
180;0.38800409
181;0.388204837
182;0.388067729
183;0.387934085
184;0.387632734
185;0.386960976
186;0.386975506
187;0.386720227
188;0.386564528
189;0.38622307
190;0.386000938
191;0.385965249
192;0.385926849
193;0.38608191
194;0.386375658
195;0.386206748
196;0.386131615
197;0.38585935
198;0.385683869
199;0.38530718
200;0.385249202
201;0.385263243
202;0.385347112
203;0.385273869
204;0.384837848
205;0.38431371
206;0.383867975
207;0.383623067
208;0.383417236
209;0.383332582
210;0.383730756
211;0.38435904
212;0.384110163
213;0.383955644
214;0.383944091
215;0.383290439
216;0.383104019
217;0.382868833
218;0.382731941
219;0.3826372
220;0.382376016
221;0.382252535
222;0.382103431
223;0.382111963
224;0.381994728
225;0.381922821
226;0.381313675
227;0.381164399
228;0.381104612
229;0.381733925
230;0.381652918
231;0.381303636
232;0.381075467
233;0.380957293
234;0.381162807
235;0.380846472
236;0.380769074
237;0.380701349
238;0.380603525
239;0.380411479
240;0.380293115
241;0.379993409
242;0.379546732
243;0.379471338
244;0.379190894
245;0.379065409
246;0.379118091
247;0.378866719
248;0.37888962
249;0.378985969
250;0.378803169
251;0.378741709
252;0.379049467
253;0.379037239
254;0.378861898
255;0.378521816
256;0.378682637
257;0.378638149
258;0.378733509
259;0.378242248
260;0.377963357
261;0.377948173
262;0.377522209
263;0.37708097
264;0.376587141
265;0.376637457
266;0.376505044
267;0.37652644
268;0.376446106
269;0.376148376
270;0.376085385
271;0.375769645
272;0.37549987
273;0.375424238
274;0.374857833
275;0.374578768
276;0.374042958
277;0.373961718
278;0.373651181
279;0.373626023
280;0.373712091
