;0;0
0;275.59;275.59
1;274.48;274.49
2;273.43;274.27
3;273.14;273.8
4;272.52;273.17
5;272.36;271.77
6;261.0;271.61
7;260.73;270.72
8;259.42;265.83
9;259.26;265.64
