;0
0;44.48
1;42.51
2;41.19
3;40.64
4;38.97
5;37.08
6;36.13
7;35.71
8;35.23
9;35.04
10;34.12
11;33.76
12;32.98
13;32.87
14;32.6
15;32.41
16;32.22
17;31.88
18;31.56
19;31.29
20;31.12
21;30.93
22;30.68
23;30.55
24;30.37
25;30.24
26;30.03
27;29.95
28;29.97
29;29.78
30;29.51
31;29.34
32;29.2
33;29.01
34;28.98
35;28.81
36;28.73
37;28.56
38;28.33
39;28.28
40;28.15
41;28.15
42;27.97
43;27.96
44;28.01
45;27.88
46;27.81
47;27.69
48;27.54
49;27.4
50;27.33
51;27.24
52;27.18
53;27.08
54;26.93
55;26.84
56;26.74
57;26.61
58;26.58
59;26.48
60;26.43
61;26.39
62;26.3
63;26.24
64;26.17
65;26.1
66;26.08
67;26.01
68;25.96
69;25.95
70;25.87
71;25.86
72;25.85
73;25.81
74;25.84
75;25.81
76;25.77
77;25.74
78;25.7
79;25.67
80;25.63
81;25.6
82;25.6
83;25.58
84;25.56
85;25.54
86;25.51
87;25.51
88;25.44
89;25.39
90;25.39
91;25.33
92;25.31
93;25.27
94;25.21
95;25.18
96;25.17
97;25.14
98;25.17
99;25.16
100;25.13
101;25.13
102;25.13
103;25.13
104;25.08
105;25.03
106;24.99
107;24.97
108;24.98
109;24.99
110;24.97
111;24.95
112;24.9
113;24.87
114;24.85
115;24.83
116;24.82
117;24.8
118;24.77
119;24.72
120;24.71
121;24.69
122;24.68
123;24.65
124;24.65
125;24.63
126;24.63
127;24.56
128;24.55
129;24.54
130;24.56
131;24.54
132;24.52
133;24.47
134;24.46
135;24.46
136;24.46
137;24.46
138;24.46
139;24.44
140;24.45
141;24.45
142;24.43
143;24.41
144;24.37
145;24.36
146;24.35
147;24.36
148;24.34
149;24.29
150;24.29
151;24.3
152;24.25
153;24.23
154;24.2
155;24.2
156;24.16
157;24.15
158;24.12
159;24.1
160;24.08
161;24.07
162;24.07
163;24.06
164;24.03
165;24.02
166;24.02
167;24.01
168;23.99
169;23.98
170;23.98
171;23.98
172;23.95
173;23.94
174;23.93
175;23.93
176;23.91
177;23.88
178;23.86
179;23.85
180;23.83
181;23.8
182;23.78
183;23.79
184;23.79
185;23.79
186;23.78
187;23.76
188;23.76
189;23.71
190;23.71
191;23.7
192;23.68
193;23.68
194;23.66
195;23.64
196;23.64
197;23.62
198;23.62
199;23.62
200;23.63
201;23.62
202;23.61
203;23.6
204;23.6
205;23.58
206;23.57
207;23.56
208;23.55
209;23.55
210;23.53
211;23.52
212;23.51
213;23.5
214;23.5
215;23.49
216;23.49
217;23.46
218;23.45
219;23.43
220;23.43
221;23.42
222;23.41
223;23.42
224;23.42
225;23.42
226;23.42
227;23.42
228;23.42
229;23.42
230;23.41
231;23.42
232;23.41
233;23.41
234;23.4
235;23.4
236;23.38
237;23.38
238;23.39
239;23.38
240;23.38
241;23.38
242;23.37
243;23.36
244;23.36
245;23.36
246;23.36
247;23.34
248;23.34
249;23.33
250;23.32
251;23.31
252;23.31
253;23.3
254;23.3
255;23.27
256;23.28
257;23.28
258;23.28
259;23.28
260;23.27
261;23.27
262;23.25
263;23.24
264;23.24
265;23.24
266;23.23
267;23.24
268;23.23
269;23.24
270;23.25
271;23.25
272;23.24
273;23.23
274;23.24
275;23.24
276;23.25
277;23.24
278;23.25
279;23.24
280;23.21
281;23.21
282;23.19
283;23.19
284;23.18
285;23.17
286;23.17
287;23.16
288;23.16
289;23.16
290;23.16
291;23.13
292;23.13
293;23.13
294;23.12
295;23.11
296;23.1
297;23.1
298;23.1
299;23.08
300;23.08
301;23.07
302;23.06
303;23.06
304;23.04
305;23.04
306;23.04
307;23.03
308;23.03
309;23.02
310;23.03
311;23.04
312;23.03
313;23.03
314;23.03
315;23.02
316;23.02
317;23.02
318;23.02
319;23.01
320;23.0
321;23.0
322;22.97
323;22.96
324;22.97
325;22.96
326;22.96
327;22.96
328;22.96
329;22.95
330;22.95
331;22.95
332;22.95
333;22.95
334;22.95
335;22.95
336;22.95
337;22.95
338;22.95
339;22.95
340;22.94
341;22.94
342;22.93
343;22.93
344;22.93
345;22.92
346;22.92
347;22.91
348;22.91
349;22.91
350;22.91
351;22.9
352;22.9
353;22.89
354;22.88
355;22.88
356;22.88
357;22.86
358;22.86
359;22.85
360;22.83
361;22.83
362;22.83
363;22.83
364;22.82
365;22.82
366;22.83
367;22.83
368;22.82
369;22.81
370;22.81
371;22.8
372;22.8
373;22.79
374;22.79
375;22.78
376;22.78
377;22.79
378;22.78
379;22.78
380;22.78
381;22.76
382;22.75
383;22.75
384;22.75
385;22.75
386;22.74
387;22.73
388;22.72
389;22.72
390;22.72
391;22.71
392;22.71
393;22.72
394;22.73
395;22.73
396;22.72
397;22.71
398;22.71
399;22.7
400;22.7
401;22.69
402;22.7
403;22.69
404;22.69
405;22.68
406;22.68
407;22.67
408;22.66
409;22.66
410;22.66
411;22.66
412;22.65
413;22.65
414;22.65
415;22.65
416;22.65
417;22.65
418;22.64
419;22.64
420;22.64
421;22.64
422;22.62
423;22.62
424;22.6
425;22.61
426;22.6
427;22.6
428;22.6
429;22.59
430;22.58
431;22.57
432;22.56
433;22.55
434;22.55
435;22.55
436;22.55
437;22.54
438;22.54
439;22.53
440;22.53
441;22.52
442;22.51
443;22.51
444;22.51
445;22.51
446;22.51
447;22.51
448;22.5
449;22.5
450;22.5
451;22.49
452;22.49
453;22.49
454;22.49
455;22.49
456;22.48
457;22.48
458;22.47
459;22.47
460;22.47
461;22.47
462;22.46
463;22.46
464;22.45
465;22.45
466;22.45
467;22.45
468;22.44
469;22.44
470;22.43
471;22.43
472;22.43
473;22.43
474;22.42
475;22.43
476;22.44
477;22.44
478;22.44
479;22.44
480;22.43
481;22.43
482;22.43
483;22.43
484;22.43
485;22.43
486;22.43
487;22.43
488;22.42
489;22.43
490;22.42
491;22.42
492;22.42
493;22.42
494;22.42
495;22.42
496;22.41
497;22.4
498;22.39
499;22.39
