;derivative_mean;derivative_min;derivative_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
0;0.44;0.44;0.44;0.44;0.44;0.44
1;0.44;0.44;0.44;0.44;0.44;0.44
2;0.44;0.44;0.44;0.44;0.44;0.44
3;0.44;0.44;0.44;0.44;0.44;0.44
4;0.44;0.44;0.44;0.44;0.44;0.44
5;0.44;0.44;0.44;0.44;0.44;0.44
6;0.44;0.44;0.44;0.44;0.44;0.44
7;0.44;0.44;0.44;0.44;0.44;0.44
8;0.43;0.43;0.43;0.44;0.44;0.44
9;0.43;0.43;0.43;0.44;0.44;0.44
10;0.43;0.43;0.43;0.44;0.44;0.44
11;0.43;0.43;0.43;0.44;0.44;0.44
12;0.43;0.43;0.43;0.44;0.44;0.44
13;0.43;0.43;0.43;0.44;0.44;0.44
14;0.43;0.43;0.43;0.44;0.44;0.44
15;0.43;0.43;0.43;0.44;0.44;0.44
16;0.43;0.43;0.43;0.44;0.44;0.44
17;0.43;0.43;0.43;0.44;0.44;0.44
18;0.43;0.43;0.43;0.44;0.44;0.44
19;0.43;0.43;0.43;0.44;0.44;0.44
20;0.43;0.43;0.43;0.44;0.44;0.44
21;0.43;0.43;0.43;0.44;0.44;0.44
22;0.42;0.42;0.42;0.44;0.44;0.44
23;0.42;0.42;0.42;0.44;0.44;0.44
24;0.42;0.42;0.42;0.44;0.44;0.44
25;0.42;0.42;0.42;0.44;0.44;0.44
26;0.42;0.42;0.42;0.44;0.44;0.44
27;0.42;0.42;0.42;0.44;0.44;0.44
28;0.42;0.42;0.42;0.44;0.44;0.44
29;0.42;0.42;0.42;0.44;0.44;0.44
30;0.42;0.42;0.42;0.44;0.44;0.44
31;0.42;0.42;0.42;0.44;0.44;0.44
32;0.42;0.42;0.42;0.44;0.44;0.44
33;0.42;0.42;0.42;0.44;0.44;0.44
34;0.42;0.42;0.42;0.44;0.44;0.44
35;0.42;0.42;0.42;0.44;0.44;0.44
36;0.42;0.42;0.42;0.44;0.44;0.44
37;0.42;0.42;0.42;0.44;0.44;0.44
38;0.42;0.42;0.42;0.44;0.44;0.44
39;0.42;0.42;0.42;0.44;0.44;0.44
40;0.42;0.42;0.42;0.44;0.44;0.44
41;0.42;0.42;0.42;0.43;0.43;0.43
42;0.42;0.42;0.42;0.43;0.43;0.43
43;0.42;0.42;0.42;0.43;0.43;0.43
44;0.42;0.42;0.42;0.43;0.43;0.43
45;0.42;0.42;0.42;0.44;0.44;0.44
46;0.42;0.42;0.42;0.44;0.44;0.44
47;0.42;0.42;0.42;0.44;0.44;0.44
48;0.42;0.42;0.42;0.44;0.44;0.44
49;0.42;0.42;0.42;0.43;0.43;0.43
50;0.42;0.42;0.42;0.43;0.43;0.43
51;0.42;0.42;0.42;0.43;0.43;0.43
52;0.41;0.41;0.41;0.43;0.43;0.43
53;0.42;0.42;0.42;0.43;0.43;0.43
54;0.42;0.42;0.42;0.43;0.43;0.43
55;0.42;0.42;0.42;0.43;0.43;0.43
56;0.42;0.42;0.42;0.43;0.43;0.43
57;0.42;0.42;0.42;0.43;0.43;0.43
58;0.41;0.41;0.41;0.43;0.43;0.43
59;0.41;0.41;0.41;0.43;0.43;0.43
