;derivative_mean;derivative_min;derivative_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
0;19.66;19.65;19.67;19.67;19.67;19.67
1;19.645;19.64;19.65;19.66;19.66;19.66
2;19.630000000000003;19.62;19.64;19.66;19.66;19.66
3;19.6;19.59;19.61;19.65;19.65;19.65
4;19.58;19.57;19.59;19.645;19.64;19.65
5;19.564999999999998;19.55;19.58;19.64;19.64;19.64
6;19.545;19.52;19.57;19.634999999999998;19.63;19.64
7;19.525;19.5;19.55;19.625;19.62;19.63
8;19.515;19.49;19.54;19.61;19.61;19.61
9;19.505;19.47;19.54;19.6;19.6;19.6
