;0
0;44.48
1;42.61
2;41.75
3;40.87
4;38.93
5;38.13
6;37.61
7;36.4
8;36.2
9;36.21
10;35.66
11;35.02
12;34.65
13;34.07
14;34.03
15;33.47
16;32.75
17;32.24
18;32.19
19;31.92
20;31.87
21;31.92
22;31.68
23;31.51
24;31.43
25;31.05
26;30.94
27;30.69
28;30.61
29;30.49
30;30.26
31;30.12
32;30.08
33;29.88
34;29.81
35;29.59
36;29.22
37;29.08
38;29.03
39;28.98
40;28.93
41;28.84
42;28.69
43;28.65
44;28.5
45;28.4
46;28.15
47;28.05
48;27.9
49;27.83
50;27.72
51;27.69
52;27.64
53;27.66
54;27.3
55;27.22
56;27.1
57;27.07
58;27.0
59;26.92
60;26.85
61;26.79
62;26.69
63;26.67
64;26.45
65;26.35
66;26.31
67;26.3
68;26.21
69;26.22
70;26.15
71;26.16
72;26.13
73;26.16
74;26.12
75;26.11
76;25.89
77;25.85
78;25.77
79;25.74
80;25.67
81;25.63
82;25.61
83;25.53
84;25.52
85;25.51
86;25.41
87;25.37
88;25.32
89;25.31
90;25.3
91;25.28
92;25.25
93;25.2
94;25.2
95;25.15
96;25.12
97;25.08
98;25.01
99;25.02
100;24.96
101;24.93
102;24.91
103;24.91
104;24.91
105;24.83
106;24.83
107;24.8
108;24.8
109;24.77
110;24.77
111;24.75
112;24.74
113;24.74
114;24.72
115;24.7
116;24.66
117;24.66
118;24.64
119;24.65
120;24.64
121;24.63
122;24.61
123;24.63
124;24.61
125;24.59
126;24.57
127;24.52
128;24.5
129;24.49
130;24.47
131;24.46
132;24.45
133;24.41
134;24.39
135;24.37
136;24.37
137;24.35
138;24.35
139;24.33
140;24.32
141;24.32
142;24.3
143;24.29
144;24.3
145;24.3
146;24.29
147;24.26
148;24.26
149;24.26
150;24.29
151;24.26
152;24.26
153;24.2
154;24.2
155;24.17
156;24.17
157;24.17
158;24.16
159;24.15
160;24.12
161;24.11
162;24.1
163;24.1
164;24.09
165;24.11
166;24.11
167;24.08
168;24.06
169;24.06
170;24.04
171;24.03
172;23.97
173;23.95
174;23.92
175;23.91
176;23.9
177;23.88
178;23.89
179;23.88
180;23.86
181;23.84
182;23.83
183;23.82
184;23.81
185;23.81
186;23.81
187;23.8
188;23.79
189;23.79
190;23.78
191;23.76
192;23.72
193;23.7
194;23.71
195;23.71
196;23.7
197;23.69
198;23.67
199;23.65
200;23.64
201;23.61
202;23.61
203;23.6
204;23.58
205;23.56
206;23.54
207;23.53
208;23.52
209;23.52
210;23.54
211;23.55
212;23.54
213;23.53
214;23.52
215;23.5
216;23.5
217;23.49
218;23.47
219;23.47
220;23.47
221;23.47
222;23.47
223;23.46
224;23.45
225;23.44
226;23.45
227;23.44
228;23.41
229;23.42
230;23.42
231;23.4
232;23.39
233;23.38
234;23.36
235;23.35
236;23.34
237;23.33
238;23.32
239;23.3
240;23.3
241;23.31
242;23.29
243;23.29
244;23.27
245;23.27
246;23.26
247;23.25
248;23.24
249;23.23
250;23.22
251;23.21
252;23.22
253;23.22
254;23.22
255;23.22
256;23.18
257;23.18
258;23.17
259;23.18
260;23.17
261;23.16
262;23.15
263;23.13
264;23.14
265;23.14
266;23.13
267;23.11
268;23.11
269;23.1
270;23.09
271;23.1
272;23.1
273;23.09
274;23.1
275;23.09
276;23.1
277;23.11
278;23.11
279;23.11
280;23.11
281;23.1
282;23.11
283;23.1
284;23.09
285;23.08
286;23.06
287;23.06
288;23.06
289;23.05
290;23.05
291;23.05
292;23.03
293;23.03
294;23.02
295;23.01
296;23.0
297;22.99
298;23.0
299;23.0
300;23.01
301;23.01
302;23.01
303;23.0
304;22.99
305;22.98
306;22.97
307;22.96
308;22.95
309;22.95
310;22.93
311;22.93
312;22.92
313;22.91
314;22.89
