;derivative_mean;derivative_min;derivative_max;expVisits_mean;expVisits_min;expVisits_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
356;42.89;42.89;42.89;68.1;68.1;68.1;51.48;51.48;51.48
357;42.82;42.82;42.82;68.06;68.06;68.06;51.32;51.32;51.32
358;42.72;42.72;42.72;67.88;67.88;67.88;51.29;51.29;51.29
359;42.63;42.63;42.63;67.83;67.83;67.83;51.19;51.19;51.19
360;42.53;42.53;42.53;67.81;67.81;67.81;51.06;51.06;51.06
361;42.48;42.48;42.48;67.65;67.65;67.65;51.01;51.01;51.01
362;42.39;42.39;42.39;67.61;67.61;67.61;50.9;50.9;50.9
363;42.34;42.34;42.34;67.51;67.51;67.51;50.63;50.63;50.63
364;42.27;42.27;42.27;67.26;67.26;67.26;50.61;50.61;50.61
365;42.2;42.2;42.2;67.22;67.22;67.22;50.6;50.6;50.6
366;42.14;42.14;42.14;67.21;67.21;67.21;50.55;50.55;50.55
367;42.05;42.05;42.05;67.17;67.17;67.17;50.44;50.44;50.44
368;41.99;41.99;41.99;67.11;67.11;67.11;50.4;50.4;50.4
369;41.94;41.94;41.94;67.05;67.05;67.05;50.39;50.39;50.39
370;41.88;41.88;41.88;66.71;66.71;66.71;50.33;50.33;50.33
371;41.81;41.81;41.81;66.67;66.67;66.67;50.25;50.25;50.25
372;41.75;41.75;41.75;66.66;66.66;66.66;50.12;50.12;50.12
373;41.68;41.68;41.68;66.57;66.57;66.57;50.01;50.01;50.01
374;41.59;41.59;41.59;66.55;66.55;66.55;49.9;49.9;49.9
375;41.53;41.53;41.53;66.4;66.4;66.4;49.88;49.88;49.88
376;41.45;41.45;41.45;66.37;66.37;66.37;49.56;49.56;49.56
377;41.39;41.39;41.39;66.35;66.35;66.35;49.55;49.55;49.55
378;41.37;41.37;41.37;66.05;66.05;66.05;49.5;49.5;49.5
379;41.3;41.3;41.3;66.01;66.01;66.01;49.48;49.48;49.48
380;41.24;41.24;41.24;65.76;65.76;65.76;49.43;49.43;49.43
381;41.18;41.18;41.18;65.74;65.74;65.74;49.39;49.39;49.39
382;41.12;41.12;41.12;65.65;65.65;65.65;49.37;49.37;49.37
383;41.09;41.09;41.09;65.62;65.62;65.62;49.23;49.23;49.23
384;41.03;41.03;41.03;65.59;65.59;65.59;49.04;49.04;49.04
385;40.98;40.98;40.98;65.55;65.55;65.55;49.04;49.04;49.04
386;40.89;40.89;40.89;65.49;65.49;65.49;49.01;49.01;49.01
387;40.83;40.83;40.83;65.46;65.46;65.46;48.92;48.92;48.92
388;40.81;40.81;40.81;65.42;65.42;65.42;48.85;48.85;48.85
389;40.75;40.75;40.75;65.41;65.41;65.41;48.82;48.82;48.82
390;40.7;40.7;40.7;65.38;65.38;65.38;48.8;48.8;48.8
391;40.69;40.69;40.69;65.34;65.34;65.34;48.74;48.74;48.74
392;40.65;40.65;40.65;65.33;65.33;65.33;48.6;48.6;48.6
393;40.6;40.6;40.6;65.31;65.31;65.31;48.55;48.55;48.55
394;40.54;40.54;40.54;65.27;65.27;65.27;48.19;48.19;48.19
395;40.53;40.53;40.53;65.26;65.26;65.26;48.12;48.12;48.12
396;40.49;40.49;40.49;65.23;65.23;65.23;47.92;47.92;47.92
397;40.46;40.46;40.46;65.17;65.17;65.17;47.83;47.83;47.83
398;40.4;40.4;40.4;65.16;65.16;65.16;47.69;47.69;47.69
399;40.29;40.29;40.29;64.81;64.81;64.81;47.6;47.6;47.6
400;40.22;40.22;40.22;64.8;64.8;64.8;47.56;47.56;47.56
401;40.15;40.15;40.15;64.76;64.76;64.76;47.45;47.45;47.45
402;40.08;40.08;40.08;64.64;64.64;64.64;47.38;47.38;47.38
403;40.08;40.08;40.08;64.63;64.63;64.63;47.28;47.28;47.28
404;39.97;39.97;39.97;64.59;64.59;64.59;47.22;47.22;47.22
405;39.93;39.93;39.93;64.54;64.54;64.54;47.14;47.14;47.14
406;39.9;39.9;39.9;64.36;64.36;64.36;47.04;47.04;47.04
407;39.84;39.84;39.84;64.11;64.11;64.11;46.88;46.88;46.88
408;39.78;39.78;39.78;64.08;64.08;64.08;46.84;46.84;46.84
409;39.72;39.72;39.72;64.06;64.06;64.06;46.76;46.76;46.76
410;39.61;39.61;39.61;64.05;64.05;64.05;46.72;46.72;46.72
411;39.59;39.59;39.59;64.04;64.04;64.04;46.65;46.65;46.65
412;39.53;39.53;39.53;64.01;64.01;64.01;46.58;46.58;46.58
413;39.45;39.45;39.45;63.95;63.95;63.95;46.48;46.48;46.48
414;39.4;39.4;39.4;63.84;63.84;63.84;46.34;46.34;46.34
415;39.37;39.37;39.37;63.79;63.79;63.79;46.24;46.24;46.24
416;39.3;39.3;39.3;63.75;63.75;63.75;46.16;46.16;46.16
417;39.22;39.22;39.22;63.14;63.14;63.14;45.98;45.98;45.98
418;39.13;39.13;39.13;63.13;63.13;63.13;45.91;45.91;45.91
419;39.06;39.06;39.06;63.07;63.07;63.07;45.86;45.86;45.86
420;39.01;39.01;39.01;63.04;63.04;63.04;45.67;45.67;45.67
421;38.94;38.94;38.94;63.02;63.02;63.02;45.61;45.61;45.61
422;38.85;38.85;38.85;62.98;62.98;62.98;45.61;45.61;45.61
423;38.81;38.81;38.81;62.84;62.84;62.84;45.56;45.56;45.56
424;38.76;38.76;38.76;62.83;62.83;62.83;45.47;45.47;45.47
425;38.71;38.71;38.71;62.79;62.79;62.79;45.4;45.4;45.4
426;38.67;38.67;38.67;62.78;62.78;62.78;45.35;45.35;45.35
427;38.69;38.69;38.69;62.76;62.76;62.76;45.28;45.28;45.28
428;38.61;38.61;38.61;62.62;62.62;62.62;45.23;45.23;45.23
429;38.53;38.53;38.53;62.39;62.39;62.39;45.18;45.18;45.18
430;38.49;38.49;38.49;62.19;62.19;62.19;45.13;45.13;45.13
431;38.45;38.45;38.45;62.17;62.17;62.17;45.1;45.1;45.1
432;38.4;38.4;38.4;62.11;62.11;62.11;44.89;44.89;44.89
433;38.33;38.33;38.33;62.1;62.1;62.1;44.9;44.9;44.9
434;38.28;38.28;38.28;62.07;62.07;62.07;44.86;44.86;44.86
435;38.23;38.23;38.23;62.04;62.04;62.04;44.71;44.71;44.71
436;38.16;38.16;38.16;62.02;62.02;62.02;44.69;44.69;44.69
437;38.12;38.12;38.12;61.94;61.94;61.94;44.64;44.64;44.64
438;38.07;38.07;38.07;61.92;61.92;61.92;44.47;44.47;44.47
439;38.04;38.04;38.04;61.91;61.91;61.91;44.42;44.42;44.42
440;37.97;37.97;37.97;61.71;61.71;61.71;44.34;44.34;44.34
441;37.92;37.92;37.92;61.68;61.68;61.68;44.25;44.25;44.25
442;37.91;37.91;37.91;61.65;61.65;61.65;44.16;44.16;44.16
443;37.87;37.87;37.87;61.63;61.63;61.63;44.1;44.1;44.1
444;37.8;37.8;37.8;61.62;61.62;61.62;43.98;43.98;43.98
445;37.74;37.74;37.74;61.6;61.6;61.6;43.93;43.93;43.93
446;37.69;37.69;37.69;61.56;61.56;61.56;43.91;43.91;43.91
447;37.64;37.64;37.64;61.54;61.54;61.54;43.89;43.89;43.89
448;37.61;37.61;37.61;61.21;61.21;61.21;43.78;43.78;43.78
449;37.6;37.6;37.6;61.18;61.18;61.18;43.76;43.76;43.76
450;37.57;37.57;37.57;61.14;61.14;61.14;43.71;43.71;43.71
451;37.52;37.52;37.52;61.13;61.13;61.13;43.65;43.65;43.65
452;37.51;37.51;37.51;61.04;61.04;61.04;43.61;43.61;43.61
453;37.48;37.48;37.48;60.84;60.84;60.84;43.43;43.43;43.43
454;37.45;37.45;37.45;60.83;60.83;60.83;43.4;43.4;43.4
455;37.37;37.37;37.37;60.81;60.81;60.81;43.34;43.34;43.34
456;37.33;37.33;37.33;60.75;60.75;60.75;43.33;43.33;43.33
457;37.28;37.28;37.28;60.73;60.73;60.73;43.34;43.34;43.34
458;37.24;37.24;37.24;60.72;60.72;60.72;43.32;43.32;43.32
459;37.16;37.16;37.16;60.7;60.7;60.7;43.27;43.27;43.27
460;37.09;37.09;37.09;60.67;60.67;60.67;43.26;43.26;43.26
461;37.06;37.06;37.06;60.58;60.58;60.58;43.24;43.24;43.24
462;37.01;37.01;37.01;60.57;60.57;60.57;43.2;43.2;43.2
463;36.97;36.97;36.97;60.42;60.42;60.42;43.2;43.2;43.2
464;36.92;36.92;36.92;60.39;60.39;60.39;43.15;43.15;43.15
465;36.85;36.85;36.85;60.35;60.35;60.35;43.06;43.06;43.06
466;36.8;36.8;36.8;60.32;60.32;60.32;43.05;43.05;43.05
467;36.76;36.76;36.76;60.31;60.31;60.31;42.98;42.98;42.98
468;36.71;36.71;36.71;60.23;60.23;60.23;42.94;42.94;42.94
469;36.67;36.67;36.67;60.19;60.19;60.19;42.75;42.75;42.75
470;36.6;36.6;36.6;60.17;60.17;60.17;42.65;42.65;42.65
471;36.56;36.56;36.56;60.16;60.16;60.16;42.62;42.62;42.62
472;36.48;36.48;36.48;60.13;60.13;60.13;42.58;42.58;42.58
473;36.44;36.44;36.44;60.01;60.01;60.01;42.53;42.53;42.53
474;36.41;36.41;36.41;60.0;60.0;60.0;42.43;42.43;42.43
475;36.33;36.33;36.33;59.98;59.98;59.98;42.29;42.29;42.29
476;36.29;36.29;36.29;59.72;59.72;59.72;42.22;42.22;42.22
477;36.26;36.26;36.26;59.65;59.65;59.65;42.21;42.21;42.21
478;36.21;36.21;36.21;59.63;59.63;59.63;42.18;42.18;42.18
479;36.17;36.17;36.17;59.6;59.6;59.6;42.13;42.13;42.13
480;36.13;36.13;36.13;59.57;59.57;59.57;42.13;42.13;42.13
481;36.07;36.07;36.07;59.46;59.46;59.46;41.98;41.98;41.98
482;36.03;36.03;36.03;59.43;59.43;59.43;41.98;41.98;41.98
483;36.01;36.01;36.01;59.42;59.42;59.42;41.93;41.93;41.93
484;35.96;35.96;35.96;59.41;59.41;59.41;41.89;41.89;41.89
485;35.91;35.91;35.91;59.39;59.39;59.39;41.85;41.85;41.85
486;35.87;35.87;35.87;59.37;59.37;59.37;41.8;41.8;41.8
487;35.83;35.83;35.83;59.35;59.35;59.35;41.78;41.78;41.78
488;35.79;35.79;35.79;59.34;59.34;59.34;41.62;41.62;41.62
489;35.74;35.74;35.74;59.27;59.27;59.27;41.55;41.55;41.55
490;35.7;35.7;35.7;59.12;59.12;59.12;41.43;41.43;41.43
491;35.66;35.66;35.66;59.12;59.12;59.12;41.39;41.39;41.39
492;35.61;35.61;35.61;59.1;59.1;59.1;41.29;41.29;41.29
493;35.59;35.59;35.59;59.03;59.03;59.03;41.26;41.26;41.26
494;35.56;35.56;35.56;58.96;58.96;58.96;41.14;41.14;41.14
495;35.52;35.52;35.52;58.93;58.93;58.93;41.07;41.07;41.07
496;35.48;35.48;35.48;58.9;58.9;58.9;41.01;41.01;41.01
497;35.45;35.45;35.45;58.88;58.88;58.88;40.97;40.97;40.97
498;35.41;35.41;35.41;58.86;58.86;58.86;40.94;40.94;40.94
499;35.37;35.37;35.37;58.85;58.85;58.85;40.93;40.93;40.93
