;derivative_mean;derivative_min;derivative_max;expVisits_mean;expVisits_min;expVisits_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
82;97.64;97.64;97.64;123.93;123.93;123.93;130.68;130.68;130.68
83;97.1;97.1;97.1;123.63;123.63;123.63;130.63;130.63;130.63
84;96.47;96.47;96.47;122.61;122.61;122.61;129.85;129.85;129.85
85;95.97;95.97;95.97;122.17;122.17;122.17;129.79;129.79;129.79
86;95.24;95.24;95.24;121.98;121.98;121.98;129.41;129.41;129.41
87;94.57;94.57;94.57;121.45;121.45;121.45;128.87;128.87;128.87
88;94.03;94.03;94.03;121.24;121.24;121.24;128.58;128.58;128.58
89;93.55;93.55;93.55;120.87;120.87;120.87;126.2;126.2;126.2
90;92.87;92.87;92.87;120.65;120.65;120.65;126.0;126.0;126.0
91;92.38;92.38;92.38;120.15;120.15;120.15;125.51;125.51;125.51
92;91.85;91.85;91.85;118.76;118.76;118.76;125.0;125.0;125.0
93;91.27;91.27;91.27;118.5;118.5;118.5;124.58;124.58;124.58
94;90.85;90.85;90.85;118.32;118.32;118.32;123.87;123.87;123.87
95;90.35;90.35;90.35;117.5;117.5;117.5;123.75;123.75;123.75
96;89.67;89.67;89.67;117.04;117.04;117.04;122.53;122.53;122.53
97;89.23;89.23;89.23;116.83;116.83;116.83;122.46;122.46;122.46
98;88.48;88.48;88.48;116.35;116.35;116.35;122.41;122.41;122.41
99;88.03;88.03;88.03;116.17;116.17;116.17;121.55;121.55;121.55
100;87.34;87.34;87.34;116.03;116.03;116.03;119.93;119.93;119.93
101;86.93;86.93;86.93;115.27;115.27;115.27;119.83;119.83;119.83
102;86.34;86.34;86.34;115.13;115.13;115.13;118.89;118.89;118.89
103;85.91;85.91;85.91;114.84;114.84;114.84;117.46;117.46;117.46
104;85.4;85.4;85.4;114.24;114.24;114.24;117.36;117.36;117.36
105;84.98;84.98;84.98;114.06;114.06;114.06;116.93;116.93;116.93
106;84.54;84.54;84.54;113.68;113.68;113.68;116.85;116.85;116.85
107;84.11;84.11;84.11;111.64;111.64;111.64;115.91;115.91;115.91
108;83.78;83.78;83.78;111.33;111.33;111.33;114.91;114.91;114.91
109;83.37;83.37;83.37;111.21;111.21;111.21;112.24;112.24;112.24
110;82.75;82.75;82.75;110.9;110.9;110.9;111.82;111.82;111.82
111;82.29;82.29;82.29;110.66;110.66;110.66;111.68;111.68;111.68
112;81.81;81.81;81.81;110.47;110.47;110.47;111.03;111.03;111.03
113;81.4;81.4;81.4;110.33;110.33;110.33;110.96;110.96;110.96
114;81.05;81.05;81.05;109.11;109.11;109.11;110.74;110.74;110.74
115;80.66;80.66;80.66;108.42;108.42;108.42;110.68;110.68;110.68
116;80.29;80.29;80.29;108.18;108.18;108.18;110.14;110.14;110.14
117;80.09;80.09;80.09;107.89;107.89;107.89;110.13;110.13;110.13
118;79.69;79.69;79.69;107.77;107.77;107.77;109.48;109.48;109.48
119;79.36;79.36;79.36;107.57;107.57;107.57;108.74;108.74;108.74
120;79.02;79.02;79.02;106.51;106.51;106.51;108.25;108.25;108.25
121;78.71;78.71;78.71;106.28;106.28;106.28;106.8;106.8;106.8
122;78.4;78.4;78.4;106.13;106.13;106.13;106.37;106.37;106.37
123;77.94;77.94;77.94;105.49;105.49;105.49;106.29;106.29;106.29
124;77.58;77.58;77.58;105.38;105.38;105.38;105.92;105.92;105.92
125;77.32;77.32;77.32;105.09;105.09;105.09;105.61;105.61;105.61
126;77.03;77.03;77.03;104.98;104.98;104.98;104.92;104.92;104.92
127;76.96;76.96;76.96;103.6;103.6;103.6;104.51;104.51;104.51
128;76.63;76.63;76.63;103.42;103.42;103.42;104.26;104.26;104.26
129;76.33;76.33;76.33;102.88;102.88;102.88;104.01;104.01;104.01
130;75.98;75.98;75.98;102.61;102.61;102.61;103.69;103.69;103.69
131;75.69;75.69;75.69;101.2;101.2;101.2;100.85;100.85;100.85
132;75.39;75.39;75.39;101.03;101.03;101.03;100.18;100.18;100.18
133;75.06;75.06;75.06;100.74;100.74;100.74;100.14;100.14;100.14
134;74.76;74.76;74.76;100.62;100.62;100.62;99.74;99.74;99.74
135;74.45;74.45;74.45;100.52;100.52;100.52;99.18;99.18;99.18
136;74.14;74.14;74.14;100.29;100.29;100.29;99.02;99.02;99.02
137;73.83;73.83;73.83;99.87;99.87;99.87;97.9;97.9;97.9
138;73.54;73.54;73.54;99.78;99.78;99.78;97.27;97.27;97.27
139;73.31;73.31;73.31;99.6;99.6;99.6;96.99;96.99;96.99
140;73.06;73.06;73.06;99.42;99.42;99.42;96.79;96.79;96.79
141;72.74;72.74;72.74;99.28;99.28;99.28;96.44;96.44;96.44
142;72.45;72.45;72.45;99.06;99.06;99.06;96.11;96.11;96.11
143;72.18;72.18;72.18;98.97;98.97;98.97;95.92;95.92;95.92
144;71.82;71.82;71.82;98.52;98.52;98.52;95.55;95.55;95.55
145;71.58;71.58;71.58;98.35;98.35;98.35;95.46;95.46;95.46
146;71.31;71.31;71.31;98.26;98.26;98.26;94.94;94.94;94.94
147;71.06;71.06;71.06;97.86;97.86;97.86;94.3;94.3;94.3
148;70.77;70.77;70.77;97.68;97.68;97.68;94.29;94.29;94.29
