;0;0
0;275.59;275.59
1;265.57;265.2
2;255.98;256.36
3;249.05;244.57
4;242.48;238.0
5;236.91;232.94
6;232.09;227.18
7;227.82;223.37
8;224.35;219.63
9;221.66;216.57
