;expVisits_mean;expVisits_min;expVisits_max
0;287.84;287.84;287.84
1;279.42;279.42;279.42
2;273.05;273.05;273.05
3;268.51;268.51;268.51
4;259.48;259.48;259.48
5;256.3;256.3;256.3
6;251.76;251.76;251.76
7;246.56;246.56;246.56
8;243.43;243.43;243.43
9;236.4;236.4;236.4
10;228.04;228.04;228.04
11;225.06;225.06;225.06
12;223.06;223.06;223.06
13;218.95;218.95;218.95
14;215.88;215.88;215.88
15;214.83;214.83;214.83
16;212.57;212.57;212.57
17;204.93;204.93;204.93
18;201.55;201.55;201.55
19;200.08;200.08;200.08
20;197.85;197.85;197.85
21;196.24;196.24;196.24
22;193.74;193.74;193.74
23;192.16;192.16;192.16
24;191.09;191.09;191.09
25;189.28;189.28;189.28
26;186.25;186.25;186.25
27;184.67;184.67;184.67
28;183.5;183.5;183.5
29;182.78;182.78;182.78
30;179.27;179.27;179.27
31;178.05;178.05;178.05
32;176.31;176.31;176.31
33;174.79;174.79;174.79
34;174.09;174.09;174.09
35;171.7;171.7;171.7
36;170.43;170.43;170.43
37;168.43;168.43;168.43
38;167.82;167.82;167.82
39;165.08;165.08;165.08
40;163.75;163.75;163.75
41;162.83;162.83;162.83
42;160.93;160.93;160.93
43;160.33;160.33;160.33
44;159.3;159.3;159.3
45;157.11;157.11;157.11
46;156.0;156.0;156.0
47;155.66;155.66;155.66
48;154.89;154.89;154.89
49;153.15;153.15;153.15
50;151.82;151.82;151.82
51;151.4;151.4;151.4
52;150.6;150.6;150.6
53;149.88;149.88;149.88
54;148.44;148.44;148.44
55;145.85;145.85;145.85
56;145.63;145.63;145.63
57;145.05;145.05;145.05
58;142.88;142.88;142.88
59;142.14;142.14;142.14
60;140.62;140.62;140.62
61;139.96;139.96;139.96
62;139.76;139.76;139.76
63;138.3;138.3;138.3
64;137.4;137.4;137.4
65;136.89;136.89;136.89
66;136.62;136.62;136.62
67;136.15;136.15;136.15
68;135.58;135.58;135.58
69;135.22;135.22;135.22
70;133.84;133.84;133.84
71;132.74;132.74;132.74
72;132.18;132.18;132.18
73;131.77;131.77;131.77
74;131.35;131.35;131.35
75;130.26;130.26;130.26
76;128.48;128.48;128.48
77;128.32;128.32;128.32
78;127.85;127.85;127.85
79;127.16;127.16;127.16
80;126.77;126.77;126.77
81;125.92;125.92;125.92
82;124.49;124.49;124.49
83;123.8;123.8;123.8
84;123.59;123.59;123.59
85;123.25;123.25;123.25
86;122.85;122.85;122.85
87;122.66;122.66;122.66
88;122.26;122.26;122.26
89;121.77;121.77;121.77
90;121.03;121.03;121.03
91;120.2;120.2;120.2
92;119.76;119.76;119.76
93;119.66;119.66;119.66
94;119.06;119.06;119.06
95;118.75;118.75;118.75
96;118.66;118.66;118.66
97;118.3;118.3;118.3
98;117.95;117.95;117.95
99;117.63;117.63;117.63
