;derivative_mean;derivative_min;derivative_max;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max;random_mean;random_min;random_max
0;287.84;287.84;287.84;287.84;287.84;287.84;287.84;287.84;287.84;287.84;287.84;287.84
1;278.29;278.29;278.29;279.67333333333335;279.42;279.8;283.6566666666667;283.53;283.91;287.13999999999993;286.8;287.59
2;269.08666666666664;268.49;270.28;273.93;273.05;275.35;274.2966666666667;273.59;275.36;283.71;277.83;286.65
3;262.09999999999997;260.75;263.08;269.9766666666667;268.51;270.85;269.38;268.59;270.49;283.22;277.21;286.35
4;255.49666666666667;254.44;256.14;261.09999999999997;259.48;262.05;269.3333333333333;268.54;270.44;282.4266666666667;276.41;285.81
5;249.52999999999997;248.46;250.2;256.8933333333333;256.3;257.28;269.2666666666667;268.48;270.37;281.7833333333333;276.34;284.93
6;244.30333333333337;243.42;244.81;253.38333333333333;251.76;254.39;264.63000000000005;263.98;265.66;277.52;274.44;283.43
7;239.14333333333332;238.66;239.9;248.08;246.56;249.03;264.1266666666667;263.48;265.17;277.1233333333334;274.23;282.67
8;234.4333333333333;234.2;234.89;244.11;243.13;245.77;262.17333333333335;261.37;263.16;274.6666666666667;273.13;276.78
9;231.05666666666664;228.86;233.79;238.9433333333333;236.4;240.48;257.87000000000006;257.18;258.92;274.42;272.61;276.6
10;225.84;223.94;229.2;230.71666666666667;228.04;232.71;257.10333333333335;256.44;258.13;273.9166666666667;271.67;276.41
11;222.23333333333335;219.89;226.07;227.71666666666667;225.06;229.71;249.62666666666667;248.96;250.62;273.39;271.27;275.3
12;218.1;215.38;221.76;225.56000000000003;223.06;227.44;249.02999999999997;248.4;250.06;272.03000000000003;270.3;272.93
13;214.48666666666668;211.62;218.51;221.9;218.95;224.01;240.09;238.82;241.21;270.4633333333333;269.53;271.78
14;210.8066666666667;208.0;214.86;217.87666666666667;215.88;219.27;239.02666666666664;237.72;239.97;265.33666666666664;260.03;269.41
15;207.51;204.86;211.53;216.67666666666665;214.83;218.05;233.10333333333332;231.59;234.05;263.53;259.23;269.27
16;204.07666666666668;201.44;208.17;213.6833333333333;212.57;214.97;232.07000000000002;230.76;232.97;260.51000000000005;254.83;268.47
17;201.0233333333333;198.42;205.21;209.38666666666668;204.93;211.86;226.62666666666667;223.83;230.54;259.7433333333333;253.89;267.34
18;198.39666666666668;195.74;202.72;206.11;201.55;208.61;226.59333333333333;223.82;230.49;256.51;249.47;262.1
19;195.62333333333333;192.12;199.79;204.65;200.08;207.02;221.97;219.38;225.89;256.07;249.2;261.27
20;193.04;189.22;197.96;202.32666666666668;197.85;204.65;221.4466666666667;218.84;225.37;256.0166666666667;249.14;261.24
21;189.81000000000003;186.18;194.15;200.6833333333333;196.24;203.01;221.00333333333333;218.56;224.78;252.95666666666668;248.84;257.35
22;186.91666666666666;182.59;191.53;198.99;193.74;202.02;220.67999999999998;218.19;224.61;249.9333333333333;248.3;252.82
23;184.16;180.09;188.65;195.77666666666664;192.16;198.16;218.03;215.6;221.91;248.42666666666665;243.85;252.82
24;181.60333333333332;177.6;185.96;193.87666666666667;191.09;196.15;213.83;211.47;217.65;247.93999999999997;243.04;252.44
25;179.10333333333332;176.51;183.41;191.16333333333333;189.28;193.11;212.04999999999998;209.84;216.21;244.39333333333332;242.77;246.73
26;177.13;174.86;181.04;189.37;186.25;192.03;209.35;206.73;213.66;243.59666666666666;242.63;244.53
27;174.79999999999998;172.51;178.68;187.68999999999997;184.67;190.3;207.64000000000001;205.15;211.69;240.32666666666668;237.9;243.29
28;172.1866666666667;169.96;175.97;185.5533333333333;183.5;186.59;207.60333333333332;205.1;211.64;239.34333333333333;237.61;240.69
29;169.90666666666667;167.98;173.62;183.69000000000003;182.78;185.34;207.52666666666664;205.01;211.55;238.65666666666667;236.64;240.46
30;168.04999999999998;165.99;171.9;181.88;179.27;184.5;206.34333333333336;204.11;210.21;237.90333333333334;235.65;240.2
31;166.21666666666667;164.12;169.92;180.40666666666667;178.05;182.52;205.07000000000002;202.77;208.99;235.18333333333337;230.96;240.11
32;164.32333333333335;162.25;168.04;177.79333333333338;176.31;179.05;203.59666666666666;201.3;207.49;231.41;224.7;237.9
33;162.19;159.96;166.17;176.01999999999998;174.79;176.87;202.73333333333335;200.45;206.6;230.81333333333336;223.11;237.87
34;160.38666666666668;158.0;164.21;175.29;174.09;176.09;202.54999999999998;200.27;206.42;229.13666666666668;222.82;233.84
35;158.94;156.28;163.42;173.39333333333332;171.7;174.39;202.20000000000002;199.9;206.05;228.11333333333334;222.78;232.83
36;157.23333333333332;154.54;161.71;171.87;170.43;172.82;201.84666666666666;199.57;205.71;227.30666666666664;221.35;232.29
37;155.61333333333334;152.87;159.89;170.48000000000002;168.43;171.86;201.80000000000004;199.52;205.68;226.72;220.89;231.33
38;153.64666666666665;150.71;157.82;169.03666666666666;167.82;171.17;201.15;198.87;205.02;225.45666666666668;220.46;229.31
39;152.21333333333334;149.17;156.33;166.28333333333333;164.55;169.22;200.66;198.6;204.57;225.29;220.43;229.27
40;150.77;148.0;154.7;164.48000000000002;163.75;165.85;200.51333333333332;198.46;204.42;224.76333333333332;219.19;229.18
41;149.56666666666666;146.94;153.12;163.71;162.83;165.31;200.25;198.18;204.14;224.09;218.77;228.88
42;148.12666666666667;145.71;151.55;162.19333333333333;160.93;164.01;200.19000000000003;198.13;204.08;223.10666666666665;217.81;228.21
43;146.72;144.25;150.14;161.6;160.33;163.27;199.89;197.82;203.78;222.67;217.56;228.03
44;145.04666666666665;142.67;148.51;160.67666666666665;159.3;162.48;196.40333333333334;194.02;200.2;222.43666666666664;217.32;227.68
45;143.35333333333332;140.78;146.89;158.46666666666667;157.11;160.24;195.91333333333333;193.67;199.66;221.64333333333332;217.23;225.82
46;142.05666666666664;139.55;145.45;157.51666666666665;156.0;159.26;195.47333333333336;193.24;199.21;218.10666666666665;215.03;222.24
47;140.65;137.93;144.18;156.41;155.66;157.61;195.42666666666665;193.22;199.15;216.66666666666666;214.16;219.12
48;139.39333333333335;136.74;143.08;155.82666666666668;154.89;157.02;193.6966666666667;191.41;198.15;215.91;212.3;218.91
49;138.15;135.53;141.79;154.23666666666665;153.15;155.32;192.23;189.9;196.79;214.83666666666667;211.84;218.72
50;136.91333333333333;134.39;140.54;152.84333333333333;151.82;153.99;192.06333333333336;189.74;196.62;214.36333333333334;211.0;218.31
51;135.80666666666664;133.29;139.42;151.70000000000002;150.17;153.53;191.70000000000002;189.24;196.33;213.74666666666667;209.3;218.3
52;134.40333333333334;132.04;138.16;150.85333333333332;149.72;152.24;191.13;188.73;195.69;211.78666666666666;205.53;217.99
53;133.01000000000002;130.92;136.18;150.09333333333333;149.0;151.4;188.37666666666667;185.53;192.63;208.38333333333333;201.49;212.32
54;131.94666666666666;129.78;135.25;149.14333333333332;148.2;150.79;188.20000000000002;185.38;192.38;208.03666666666666;201.21;211.82
55;130.57;129.04;132.98;147.81666666666666;145.85;150.01;187.47;184.62;191.59;207.7833333333333;201.17;211.36
56;129.11333333333334;127.49;131.56;146.13666666666666;144.93;147.85;186.5666666666667;183.74;190.81;206.60666666666665;199.57;210.28
