;0
0;275.592637792
1;264.828548536
2;255.621122215
3;248.820618284
4;241.427538849
5;234.76775725
6;228.860450873
7;223.518093155
8;216.753261603
9;213.772116873
10;209.341326827
11;205.90852175
12;202.260589124
13;198.605398941
14;195.988388278
15;191.692535679
16;189.453046413
17;186.28615741
18;183.516505057
19;180.656717732
20;178.399733678
21;175.068008743
22;172.848870644
23;170.52793543
24;168.176067425
25;164.645119788
26;162.557320296
27;160.555909628
28;157.690260413
29;155.639015871
30;153.691862019
31;151.858268976
32;150.064719617
33;148.19239133
34;146.27004293
35;144.118248351
36;142.56068905
37;141.095614978
38;139.564067126
39;138.456506835
40;136.979556032
41;135.695467854
42;134.420657658
43;133.111941035
44;131.80848163
45;130.505964099
46;129.32812696
47;127.636844906
48;126.104466801
49;124.633837049
50;123.452959319
51;122.374790349
52;121.319513034
53;120.827778156
54;120.23270183
55;119.38130143
56;118.424967842
57;117.667836019
58;116.485481068
59;115.555959086
60;114.711028216
61;113.916304232
62;112.924398984
63;112.287129584
64;111.50067527
65;110.362495114
66;109.523989783
67;108.988627252
68;108.034992258
69;107.245340079
70;106.336574843
71;105.258504198
72;104.417934038
73;103.212810929
74;102.572179161
75;101.912616444
76;101.147203695
77;100.481351192
78;100.243499901
79;99.794027222
80;98.862820101
81;98.216999594
82;97.635398052
83;97.098102915
84;96.471261467
85;95.965266375
86;95.235316478
87;94.570426729
88;94.030418896
89;93.547909306
90;92.865751924
91;92.383367861
92;91.848364967
93;91.271381307
94;90.851475676
95;90.349092569
96;89.670522785
97;89.230873483
98;88.476138625
99;88.026819643
