;derivative_mean;derivative_min;derivative_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max;random_mean;random_min;random_max
0;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073
1;0.440496285;0.440496285;0.440496285;0.441719767;0.441719767;0.441719767;0.44142012;0.44142012;0.44142012;0.44142012;0.44142012;0.44142012;0.441890828;0.441890828;0.441890828
2;0.43930557;0.43930557;0.43930557;0.441567475;0.441567475;0.441567475;0.440923403;0.440923403;0.440923403;0.44131201;0.44131201;0.44131201;0.441938027;0.441938027;0.441938027
3;0.437904049;0.437904049;0.437904049;0.441355937;0.441355937;0.441355937;0.440646376;0.440646376;0.440646376;0.439814553;0.439814553;0.439814553;0.44193134;0.44193134;0.44193134
4;0.436351827;0.436351827;0.436351827;0.442020693;0.442020693;0.442020693;0.440422851;0.440422851;0.440422851;0.439758447;0.439758447;0.439758447;0.441836511;0.441836511;0.441836511
5;0.4356337;0.4356337;0.4356337;0.441990088;0.441990088;0.441990088;0.44031874;0.44031874;0.44031874;0.439744353;0.439744353;0.439744353;0.441778084;0.441778084;0.441778084
6;0.435426688;0.435426688;0.435426688;0.441964819;0.441964819;0.441964819;0.440152902;0.440152902;0.440152902;0.43973238;0.43973238;0.43973238;0.441788996;0.441788996;0.441788996
7;0.435413495;0.435413495;0.435413495;0.441824821;0.441824821;0.441824821;0.440076668;0.440076668;0.440076668;0.439695978;0.439695978;0.439695978;0.441758475;0.441758475;0.441758475
8;0.433076795;0.433076795;0.433076795;0.441892897;0.441892897;0.441892897;0.439760463;0.439760463;0.439760463;0.439780046;0.439780046;0.439780046;0.441728269;0.441728269;0.441728269
9;0.434111686;0.434111686;0.434111686;0.44119461;0.44119461;0.44119461;0.439425847;0.439425847;0.439425847;0.439960514;0.439960514;0.439960514;0.441685798;0.441685798;0.441685798
10;0.433442369;0.433442369;0.433442369;0.440976072;0.440976072;0.440976072;0.439229002;0.439229002;0.439229002;0.439934148;0.439934148;0.439934148;0.441691436;0.441691436;0.441691436
11;0.434079811;0.434079811;0.434079811;0.440990517;0.440990517;0.440990517;0.439043661;0.439043661;0.439043661;0.43987425;0.43987425;0.43987425;0.441310117;0.441310117;0.441310117
12;0.433590616;0.433590616;0.433590616;0.440304163;0.440304163;0.440304163;0.438982939;0.438982939;0.438982939;0.439178384;0.439178384;0.439178384;0.441308471;0.441308471;0.441308471
13;0.432466249;0.432466249;0.432466249;0.438888597;0.438888597;0.438888597;0.43892706;0.43892706;0.43892706;0.439079055;0.439079055;0.439079055;0.441290228;0.441290228;0.441290228
14;0.430710141;0.430710141;0.430710141;0.43888137;0.43888137;0.43888137;0.438748945;0.438748945;0.438748945;0.438808216;0.438808216;0.438808216;0.441270664;0.441270664;0.441270664
15;0.431774187;0.431774187;0.431774187;0.438196583;0.438196583;0.438196583;0.438882376;0.438882376;0.438882376;0.438957534;0.438957534;0.438957534;0.441284384;0.441284384;0.441284384
16;0.430251081;0.430251081;0.430251081;0.43771772;0.43771772;0.43771772;0.438997385;0.438997385;0.438997385;0.439096388;0.439096388;0.439096388;0.441173692;0.441173692;0.441173692
17;0.427866641;0.427866641;0.427866641;0.437363162;0.437363162;0.437363162;0.439177283;0.439177283;0.439177283;0.439183808;0.439183808;0.439183808;0.441090186;0.441090186;0.441090186
18;0.428210836;0.428210836;0.428210836;0.437054104;0.437054104;0.437054104;0.438849487;0.438849487;0.438849487;0.438992452;0.438992452;0.438992452;0.441072294;0.441072294;0.441072294
19;0.428285042;0.428285042;0.428285042;0.436963502;0.436963502;0.436963502;0.438742264;0.438742264;0.438742264;0.438977823;0.438977823;0.438977823;0.441046938;0.441046938;0.441046938
20;0.427256367;0.427256367;0.427256367;0.436959618;0.436959618;0.436959618;0.438607086;0.438607086;0.438607086;0.438944475;0.438944475;0.438944475;0.441047093;0.441047093;0.441047093
21;0.425701406;0.425701406;0.425701406;0.436855408;0.436855408;0.436855408;0.437443126;0.437443126;0.437443126;0.43865869;0.43865869;0.43865869;0.441024628;0.441024628;0.441024628
22;0.424654682;0.424654682;0.424654682;0.4368476;0.4368476;0.4368476;0.437305057;0.437305057;0.437305057;0.43853069;0.43853069;0.43853069;0.440899824;0.440899824;0.440899824
23;0.424446558;0.424446558;0.424446558;0.436708423;0.436708423;0.436708423;0.437286017;0.437286017;0.437286017;0.43839796;0.43839796;0.43839796;0.440879479;0.440879479;0.440879479
24;0.423337902;0.423337902;0.423337902;0.436452417;0.436452417;0.436452417;0.437106789;0.437106789;0.437106789;0.438323967;0.438323967;0.438323967;0.44087951;0.44087951;0.44087951
25;0.421605664;0.421605664;0.421605664;0.436251346;0.436251346;0.436251346;0.437152535;0.437152535;0.437152535;0.438378051;0.438378051;0.438378051;0.44085704;0.44085704;0.44085704
26;0.421408021;0.421408021;0.421408021;0.436167463;0.436167463;0.436167463;0.436701081;0.436701081;0.436701081;0.438354214;0.438354214;0.438354214;0.440742774;0.440742774;0.440742774
27;0.420133378;0.420133378;0.420133378;0.436061496;0.436061496;0.436061496;0.43674111;0.43674111;0.43674111;0.438316797;0.438316797;0.438316797;0.440793069;0.440793069;0.440793069
28;0.42100783;0.42100783;0.42100783;0.435873402;0.435873402;0.435873402;0.436137503;0.436137503;0.436137503;0.438319817;0.438319817;0.438319817;0.440759593;0.440759593;0.440759593
29;0.420898374;0.420898374;0.420898374;0.435819124;0.435819124;0.435819124;0.436087878;0.436087878;0.436087878;0.43826329;0.43826329;0.43826329;0.440702879;0.440702879;0.440702879
30;0.420688688;0.420688688;0.420688688;0.435759541;0.435759541;0.435759541;0.436068099;0.436068099;0.436068099;0.438261236;0.438261236;0.438261236;0.44066703;0.44066703;0.44066703
31;0.420822139;0.420822139;0.420822139;0.435837103;0.435837103;0.435837103;0.435998051;0.435998051;0.435998051;0.438232358;0.438232358;0.438232358;0.440658038;0.440658038;0.440658038
32;0.420224945;0.420224945;0.420224945;0.435345109;0.435345109;0.435345109;0.435927369;0.435927369;0.435927369;0.438204697;0.438204697;0.438204697;0.44063936;0.44063936;0.44063936
33;0.419792226;0.419792226;0.419792226;0.435323727;0.435323727;0.435323727;0.43576703;0.43576703;0.43576703;0.438032601;0.438032601;0.438032601;0.440660906;0.440660906;0.440660906
34;0.41945711;0.41945711;0.41945711;0.435286047;0.435286047;0.435286047;0.435428058;0.435428058;0.435428058;0.43798271;0.43798271;0.43798271;0.440548497;0.440548497;0.440548497
35;0.419647945;0.419647945;0.419647945;0.435309878;0.435309878;0.435309878;0.435536866;0.435536866;0.435536866;0.437471514;0.437471514;0.437471514;0.440602825;0.440602825;0.440602825
36;0.419278494;0.419278494;0.419278494;0.435258942;0.435258942;0.435258942;0.435389058;0.435389058;0.435389058;0.43740661;0.43740661;0.43740661;0.44050439;0.44050439;0.44050439
37;0.418790497;0.418790497;0.418790497;0.435258079;0.435258079;0.435258079;0.435345271;0.435345271;0.435345271;0.437361209;0.437361209;0.437361209;0.440502838;0.440502838;0.440502838
