;derivative_mean;derivative_min;derivative_max;samples_mean;samples_min;samples_max
0;243.655;210.37;276.94;171.055;165.68;176.43
1;235.835;205.55;266.12;169.615;163.76;175.47
2;229.36;201.85;256.87;168.415;163.76;173.07
3;224.175;198.31;250.04;168.35;163.64;173.06
4;218.39;194.17;242.61;168.02;163.02;173.02
5;213.05;190.18;235.92;166.74;163.0;170.48
6;208.985;187.99;229.98;165.97;161.59;170.35
7;204.715;184.82;224.61;165.005;160.97;169.04
8;199.805;181.79;217.82;164.71;160.56;168.86
9;197.015;179.21;214.82;164.115;160.51;167.72
