;0
0;275.592637792
1;265.566517385
2;255.977573258
3;249.04529959
4;242.481600564
5;236.911003986
6;232.094841305
7;227.822732712
8;224.345564404
9;221.660036942
10;218.014513331
11;215.51919325
12;210.49184195
13;208.069743275
14;206.626492796
15;204.380326521
16;201.795214946
17;198.326859741
18;196.715573378
19;195.374957632
20;193.969820445
21;191.184849914
22;190.016546444
23;188.728291996
24;186.230576597
25;184.552809028
26;181.243134836
27;180.10311093
28;179.472023794
29;177.577591094
30;176.602239491
31;174.867320158
32;170.532268763
33;169.560639111
34;165.382355656
35;164.530854797
36;163.772685488
37;162.339636211
38;160.252136944
39;159.582888019
40;158.905566495
41;158.256594805
42;157.039597074
43;156.423799316
44;155.33208577
45;152.550854711
46;151.993803193
47;151.419463716
48;150.026342987
49;147.604692578
50;146.973797279
51;146.475183953
52;145.565635636
53;144.549487586
54;142.705678147
55;142.084290342
56;141.626506053
57;141.220957696
58;140.472682427
59;138.591405676
60;138.17729134
61;137.647717036
62;137.007981118
63;134.942082936
64;134.568292627
65;133.12532673
66;132.099269375
67;131.452082005
68;130.935941386
69;130.610602887
70;130.133794658
71;129.527385005
72;129.217709582
73;129.111935625
74;128.565994231
75;127.169984946
76;126.877796992
77;125.672632898
78;125.256226536
79;124.463052154
80;124.01828169
81;122.751367241
82;122.490277584
83;122.110127507
84;120.779032371
85;118.794734545
86;118.408114131
87;118.171809243
88;117.82927558
89;117.405344699
90;117.189659034
91;116.932603765
92;116.264191489
93;115.318037338
94;114.947464188
95;114.738106435
96;114.46797121
97;114.299993292
98;113.810014414
99;113.618503322
