;derivative_mean;derivative_min;derivative_max;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max;random_mean;random_min;random_max
0;287.84000000000003;287.84;287.84;287.84000000000003;287.84;287.84;287.84000000000003;287.84;287.84;287.84000000000003;287.84;287.84
1;278.503;273.41;283.81;279.59399999999994;277.86;281.28;284.51899999999995;283.16;286.94;285.87299999999993;278.26;287.77
2;268.866;264.12;274.18;273.47400000000005;271.36;275.35;276.442;273.23;286.1;283.49;277.25;287.07
3;261.28700000000003;256.85;264.77;269.067;266.44;270.85;272.324;268.32;285.88;282.233;276.83;286.5
4;255.02800000000002;251.09;258.16;260.077;257.2;262.39;272.136;268.29;285.56;281.28499999999997;276.19;285.81
5;248.76;244.64;251.51;256.091;253.76;257.81;272.056;268.22;285.46;280.20899999999995;273.34;284.93
6;243.573;239.43;246.2;252.24300000000002;249.14;254.49;268.247;263.52;285.04;277.912;272.58;283.43
7;238.32800000000003;234.11;240.09;247.061;244.41;249.19;267.25;262.95;280.12;276.773;268.36;282.67
8;233.56300000000002;229.57;235.44;243.64500000000004;240.21;246.69;265.43699999999995;260.66;280.0;274.619;266.38;281.11
9;228.21899999999997;221.66;233.79;238.875;236.4;241.38;261.9150000000001;256.55;279.12;273.22;263.21;281.03
10;223.467;217.35;229.2;230.88199999999998;228.04;232.74;261.217;255.81;278.38;272.20300000000003;257.87;280.29
11;219.2;213.48;226.07;228.01999999999998;225.06;229.72;255.03900000000004;248.36;278.09;271.51899999999995;257.65;280.04
12;215.21999999999997;208.87;221.76;225.63300000000004;223.06;227.44;254.35899999999992;247.6;277.76;270.164;257.46;279.62
13;211.62800000000001;205.37;218.51;222.214;218.95;224.01;247.96000000000004;238.66;277.69;268.966;257.36;279.55
14;207.94099999999997;200.49;214.86;218.13599999999997;215.88;220.17;247.077;237.72;277.28;267.97799999999995;257.22;278.02
15;204.38500000000005;196.86;211.53;216.523;214.36;218.2;242.129;231.59;271.81;266.24199999999996;252.89;277.83
16;200.96999999999997;193.56;208.17;213.68300000000005;209.92;216.55;240.92799999999997;230.76;271.06;264.404;252.52;276.28
17;197.978;190.46;205.21;209.7;204.93;214.37;236.03399999999996;223.83;270.5;263.74800000000005;252.14;276.0
