;0
0;275.592637792
1;274.491141782
2;271.982698739
3;268.329830993
4;264.199704185
5;262.856020066
6;261.342189952
7;260.160081795
8;249.673245642
9;248.354509804
10;247.288036465
11;246.79478389
12;242.182608387
13;238.793321573
14;234.46302442
15;229.658662495
16;224.396665566
17;221.410930265
18;220.482309898
19;219.578287427
20;219.166987974
21;210.778737926
22;206.954865455
23;206.880070227
24;204.052739956
25;197.872479917
26;197.821886074
27;196.40660815
28;194.470834225
29;193.958898421
30;192.061845436
31;190.297537552
32;189.883522209
33;188.263815384
34;188.047318752
35;185.58014534
36;185.016471244
37;184.679745381
38;184.294688842
39;181.195057093
40;176.392115966
41;173.467934642
42;169.3712466
43;169.316903766
44;168.827317205
45;168.039097792
46;165.941141806
47;164.303039813
48;161.999558316
49;160.629557281
50;158.994883597
51;158.920598248
52;158.553499633
53;156.522231335
54;156.12190935
55;153.293208573
56;152.007142055
57;149.731971026
58;149.540316775
59;148.628387732
60;147.825452692
61;147.25598578
62;146.605389325
63;145.641560975
64;145.175917636
65;144.762182167
66;143.72136888
67;143.704092464
68;143.118861883
69;142.692522109
70;142.63421821
71;142.216862164
72;141.344470647
73;140.471310659
74;139.382446068
75;136.121236312
76;134.821020921
77;133.931225962
78;133.092260781
79;132.481398926
80;131.837883946
81;130.588203661
82;130.138523957
83;130.05421768
84;129.733052304
85;129.563622999
86;127.660263053
87;127.018122545
88;126.451218539
89;123.464653578
90;122.829893886
91;122.169759861
92;121.734338652
93;121.217289783
94;120.980745686
95;120.855121683
96;119.848910756
97;118.975584945
98;118.445466874
99;115.369188738
