;expVisits_mean;expVisits_min;expVisits_max
0;17.16;17.16;17.16
1;15.923333333333332;15.87;16.03
2;15.106666666666667;14.6;15.42
3;14.373333333333335;14.03;14.88
4;13.976666666666667;13.62;14.47
5;13.616666666666667;13.23;14.08
6;13.32;12.88;13.83
7;13.049999999999999;12.58;13.56
8;12.943333333333333;12.43;13.53
9;12.843333333333334;12.31;13.55
10;12.700000000000001;12.24;13.35
11;12.576666666666666;12.08;13.25
12;12.5;12.05;13.12
13;12.366666666666667;11.93;13.0
14;12.326666666666668;11.95;12.97
15;12.143333333333333;11.77;12.74
16;12.049999999999999;11.73;12.53
17;11.93;11.66;12.23
18;11.893333333333333;11.63;12.22
19;11.826666666666668;11.49;12.18
20;11.753333333333332;11.39;12.19
21;11.76;11.41;12.22
22;11.719999999999999;11.45;12.2
23;11.656666666666666;11.39;12.12
24;11.606666666666667;11.37;12.08
25;11.536666666666667;11.26;11.97
26;11.523333333333333;11.24;11.93
27;11.44;11.18;11.83
28;11.39;11.1;11.84
29;11.329999999999998;11.05;11.79
30;11.303333333333333;11.02;11.73
31;11.25;10.99;11.66
32;11.219999999999999;10.95;11.65
33;11.209999999999999;10.94;11.6
34;11.183333333333332;10.91;11.57
35;11.136666666666665;10.9;11.45
36;11.106666666666667;10.88;11.42
37;11.096666666666666;10.88;11.39
38;11.086666666666666;10.87;11.37
39;11.053333333333333;10.83;11.38
40;11.043333333333331;10.82;11.37
41;11.053333333333335;10.85;11.33
42;11.033333333333333;10.83;11.29
43;11.020000000000001;10.84;11.28
44;10.986666666666666;10.82;11.2
45;10.963333333333333;10.81;11.19
46;10.946666666666667;10.78;11.18
47;10.93;10.76;11.14
48;10.899999999999999;10.76;11.08
49;10.873333333333333;10.75;11.04
50;10.86;10.77;11.02
51;10.833333333333334;10.74;11.0
52;10.81;10.72;10.97
53;10.803333333333333;10.7;11.0
54;10.783333333333333;10.68;10.96
55;10.756666666666666;10.67;10.92
56;10.716666666666669;10.63;10.88
57;10.703333333333333;10.61;10.88
58;10.673333333333332;10.58;10.85
59;10.676666666666668;10.59;10.83
60;10.673333333333334;10.59;10.8
61;10.653333333333334;10.55;10.77
