;derivative_mean;derivative_min;derivative_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max;random_mean;random_min;random_max
56;118.424967842;118.424967842;118.424967842;152.007142055;152.007142055;152.007142055;141.626506053;141.626506053;141.626506053;183.722290612;183.722290612;183.722290612;200.883702704;200.883702704;200.883702704
57;117.667836019;117.667836019;117.667836019;149.731971026;149.731971026;149.731971026;141.220957696;141.220957696;141.220957696;183.180211605;183.180211605;183.180211605;200.860866005;200.860866005;200.860866005
58;116.485481068;116.485481068;116.485481068;149.540316775;149.540316775;149.540316775;140.472682427;140.472682427;140.472682427;183.07180683;183.07180683;183.07180683;199.961335545;199.961335545;199.961335545
59;115.555959086;115.555959086;115.555959086;148.628387732;148.628387732;148.628387732;138.591405676;138.591405676;138.591405676;182.610486365;182.610486365;182.610486365;199.845518449;199.845518449;199.845518449
60;114.711028216;114.711028216;114.711028216;147.825452692;147.825452692;147.825452692;138.17729134;138.17729134;138.17729134;182.590690319;182.590690319;182.590690319;197.145180112;197.145180112;197.145180112
61;113.916304232;113.916304232;113.916304232;147.25598578;147.25598578;147.25598578;137.647717036;137.647717036;137.647717036;181.895392803;181.895392803;181.895392803;196.591251448;196.591251448;196.591251448
62;112.924398984;112.924398984;112.924398984;146.605389325;146.605389325;146.605389325;137.007981118;137.007981118;137.007981118;181.295248901;181.295248901;181.295248901;196.08495048;196.08495048;196.08495048
63;112.287129584;112.287129584;112.287129584;145.641560975;145.641560975;145.641560975;134.942082936;134.942082936;134.942082936;181.168575913;181.168575913;181.168575913;195.624180349;195.624180349;195.624180349
64;111.50067527;111.50067527;111.50067527;145.175917636;145.175917636;145.175917636;134.568292627;134.568292627;134.568292627;180.800509342;180.800509342;180.800509342;194.836454553;194.836454553;194.836454553
65;110.362495114;110.362495114;110.362495114;144.762182167;144.762182167;144.762182167;133.12532673;133.12532673;133.12532673;180.335435865;180.335435865;180.335435865;193.624908732;193.624908732;193.624908732
66;109.523989783;109.523989783;109.523989783;143.72136888;143.72136888;143.72136888;132.099269375;132.099269375;132.099269375;179.823759484;179.823759484;179.823759484;193.628582876;193.628582876;193.628582876
67;108.988627252;108.988627252;108.988627252;143.704092464;143.704092464;143.704092464;131.452082005;131.452082005;131.452082005;179.740998985;179.740998985;179.740998985;193.565677963;193.565677963;193.565677963
68;108.034992258;108.034992258;108.034992258;143.118861883;143.118861883;143.118861883;130.935941386;130.935941386;130.935941386;179.591101392;179.591101392;179.591101392;193.507011565;193.507011565;193.507011565
69;107.245340079;107.245340079;107.245340079;142.692522109;142.692522109;142.692522109;130.610602887;130.610602887;130.610602887;179.382335743;179.382335743;179.382335743;193.22611033;193.22611033;193.22611033
70;106.336574843;106.336574843;106.336574843;142.63421821;142.63421821;142.63421821;130.133794658;130.133794658;130.133794658;179.305136293;179.305136293;179.305136293;192.474175841;192.474175841;192.474175841
71;105.258504198;105.258504198;105.258504198;142.216862164;142.216862164;142.216862164;129.527385005;129.527385005;129.527385005;179.06055733;179.06055733;179.06055733;191.833949533;191.833949533;191.833949533
72;104.417934038;104.417934038;104.417934038;141.344470647;141.344470647;141.344470647;129.217709582;129.217709582;129.217709582;178.606970543;178.606970543;178.606970543;191.253724168;191.253724168;191.253724168
73;103.212810929;103.212810929;103.212810929;140.471310659;140.471310659;140.471310659;129.111935625;129.111935625;129.111935625;177.975264484;177.975264484;177.975264484;190.278145934;190.278145934;190.278145934
74;102.572179161;102.572179161;102.572179161;139.382446068;139.382446068;139.382446068;128.565994231;128.565994231;128.565994231;177.59397988;177.59397988;177.59397988;189.25465925;189.25465925;189.25465925
75;101.912616444;101.912616444;101.912616444;136.121236312;136.121236312;136.121236312;127.169984946;127.169984946;127.169984946;177.385531546;177.385531546;177.385531546;188.844830429;188.844830429;188.844830429
76;101.147203695;101.147203695;101.147203695;134.821020921;134.821020921;134.821020921;126.877796992;126.877796992;126.877796992;176.989134073;176.989134073;176.989134073;188.308017943;188.308017943;188.308017943
77;100.481351192;100.481351192;100.481351192;133.931225962;133.931225962;133.931225962;125.672632898;125.672632898;125.672632898;176.310318682;176.310318682;176.310318682;184.84217916;184.84217916;184.84217916
78;100.243499901;100.243499901;100.243499901;133.092260781;133.092260781;133.092260781;125.256226536;125.256226536;125.256226536;176.179391017;176.179391017;176.179391017;183.957828504;183.957828504;183.957828504
79;99.794027222;99.794027222;99.794027222;132.481398926;132.481398926;132.481398926;124.463052154;124.463052154;124.463052154;175.74835264;175.74835264;175.74835264;179.145975185;179.145975185;179.145975185
80;98.862820101;98.862820101;98.862820101;131.837883946;131.837883946;131.837883946;124.01828169;124.01828169;124.01828169;174.789530332;174.789530332;174.789530332;178.40364986;178.40364986;178.40364986
81;98.216999594;98.216999594;98.216999594;130.588203661;130.588203661;130.588203661;122.751367241;122.751367241;122.751367241;174.542979645;174.542979645;174.542979645;178.018150201;178.018150201;178.018150201
82;97.635398052;97.635398052;97.635398052;130.138523957;130.138523957;130.138523957;122.490277584;122.490277584;122.490277584;173.438891775;173.438891775;173.438891775;177.998828846;177.998828846;177.998828846
83;97.098102915;97.098102915;97.098102915;130.05421768;130.05421768;130.05421768;122.110127507;122.110127507;122.110127507;173.234910396;173.234910396;173.234910396;177.230086956;177.230086956;177.230086956
84;96.471261467;96.471261467;96.471261467;129.733052304;129.733052304;129.733052304;120.779032371;120.779032371;120.779032371;172.855369469;172.855369469;172.855369469;176.54351647;176.54351647;176.54351647
85;95.965266375;95.965266375;95.965266375;129.563622999;129.563622999;129.563622999;118.794734545;118.794734545;118.794734545;172.170823422;172.170823422;172.170823422;174.199011191;174.199011191;174.199011191
86;95.235316478;95.235316478;95.235316478;127.660263053;127.660263053;127.660263053;118.408114131;118.408114131;118.408114131;167.568195881;167.568195881;167.568195881;171.312586978;171.312586978;171.312586978
87;94.570426729;94.570426729;94.570426729;127.018122545;127.018122545;127.018122545;118.171809243;118.171809243;118.171809243;165.957501507;165.957501507;165.957501507;170.862072293;170.862072293;170.862072293
88;94.030418896;94.030418896;94.030418896;126.451218539;126.451218539;126.451218539;117.82927558;117.82927558;117.82927558;165.940595727;165.940595727;165.940595727;169.181627031;169.181627031;169.181627031
89;93.547909306;93.547909306;93.547909306;123.464653578;123.464653578;123.464653578;117.405344699;117.405344699;117.405344699;165.919021794;165.919021794;165.919021794;167.715842276;167.715842276;167.715842276
90;92.865751924;92.865751924;92.865751924;122.829893886;122.829893886;122.829893886;117.189659034;117.189659034;117.189659034;163.875928024;163.875928024;163.875928024;167.718296728;167.718296728;167.718296728
91;92.383367861;92.383367861;92.383367861;122.169759861;122.169759861;122.169759861;116.932603765;116.932603765;116.932603765;163.767659813;163.767659813;163.767659813;165.888355073;165.888355073;165.888355073
92;91.848364967;91.848364967;91.848364967;121.734338652;121.734338652;121.734338652;116.264191489;116.264191489;116.264191489;162.885456657;162.885456657;162.885456657;165.853215737;165.853215737;165.853215737
93;91.271381307;91.271381307;91.271381307;121.217289783;121.217289783;121.217289783;115.318037338;115.318037338;115.318037338;161.405610815;161.405610815;161.405610815;165.831446309;165.831446309;165.831446309
94;90.851475676;90.851475676;90.851475676;120.980745686;120.980745686;120.980745686;114.947464188;114.947464188;114.947464188;158.515237481;158.515237481;158.515237481;165.823204581;165.823204581;165.823204581
95;90.349092569;90.349092569;90.349092569;120.855121683;120.855121683;120.855121683;114.738106435;114.738106435;114.738106435;155.913476507;155.913476507;155.913476507;165.822925296;165.822925296;165.822925296
96;89.670522785;89.670522785;89.670522785;119.848910756;119.848910756;119.848910756;114.46797121;114.46797121;114.46797121;155.866744186;155.866744186;155.866744186;163.703088849;163.703088849;163.703088849
97;89.230873483;89.230873483;89.230873483;118.975584945;118.975584945;118.975584945;114.299993292;114.299993292;114.299993292;151.863276528;151.863276528;151.863276528;163.190399879;163.190399879;163.190399879
98;88.476138625;88.476138625;88.476138625;118.445466874;118.445466874;118.445466874;113.810014414;113.810014414;113.810014414;151.720432192;151.720432192;151.720432192;162.908723434;162.908723434;162.908723434
99;88.026819643;88.026819643;88.026819643;115.369188738;115.369188738;115.369188738;113.618503322;113.618503322;113.618503322;149.151811068;149.151811068;149.151811068;162.744989744;162.744989744;162.744989744
