;0
0;275.59
1;274.49
2;271.98
3;268.33
4;264.2
5;262.86
6;261.34
7;260.16
8;249.67
9;248.35
10;247.29
11;246.79
12;242.18
13;238.79
14;234.46
15;229.66
16;224.4
17;221.41
18;220.48
19;219.58
20;219.17
21;210.78
22;206.95
23;206.88
24;204.05
25;197.87
26;197.82
27;196.41
28;194.47
29;193.96
30;192.06
31;190.3
32;189.88
33;188.26
34;188.05
35;185.58
36;185.02
37;184.68
38;184.29
39;181.2
40;176.39
41;173.47
42;169.37
43;169.32
44;168.83
45;168.04
46;165.94
47;164.3
48;162.0
49;160.63
50;158.99
51;158.92
52;158.55
53;156.52
54;156.12
55;153.29
56;152.01
57;149.73
58;149.54
59;148.63
60;147.83
61;147.26
62;146.61
63;145.64
64;145.18
65;144.76
66;143.72
67;143.7
68;143.12
69;142.69
70;142.63
71;142.22
72;141.34
73;140.47
74;139.38
75;136.12
76;134.82
77;133.93
78;133.09
79;132.48
80;131.84
81;130.59
82;130.14
83;130.05
84;129.73
85;129.56
86;127.66
87;127.02
88;126.45
89;123.46
90;122.83
91;122.17
92;121.73
93;121.22
94;120.98
95;120.86
96;119.85
97;118.98
98;118.45
99;115.37
100;113.18
101;112.2
102;110.29
103;108.5
104;108.47
105;108.17
106;107.94
107;107.69
108;106.5
109;105.5
110;104.54
111;104.34
112;103.32
113;102.7
114;102.13
115;101.89
116;101.06
117;100.87
118;99.31
119;98.65
120;98.0
121;97.67
122;97.54
123;97.45
124;97.13
125;96.74
126;95.49
127;95.31
128;95.06
129;95.05
130;94.87
131;94.22
132;94.09
133;94.08
134;93.52
135;92.62
136;92.56
137;91.59
138;91.06
139;90.99
140;90.86
141;90.5
142;90.36
143;89.63
144;89.55
145;88.84
146;88.45
147;87.96
148;87.86
149;87.43
150;87.36
151;87.18
152;86.61
153;86.25
154;86.02
155;85.99
156;85.87
157;85.06
158;84.67
159;84.34
160;83.96
161;83.92
162;83.3
163;82.88
164;82.38
165;81.87
166;81.51
167;81.03
168;80.83
169;80.48
170;79.59
171;79.23
172;78.58
173;78.54
174;78.45
175;78.27
176;78.14
177;78.04
178;78.03
179;77.51
180;77.2
181;76.88
182;76.72
183;76.54
184;76.29
185;76.16
186;76.03
187;75.9
188;75.61
189;75.51
190;75.15
191;74.93
192;74.73
193;74.61
194;74.29
195;74.15
196;73.72
197;73.47
198;73.16
199;72.75
200;72.62
201;72.37
202;72.08
203;71.86
204;71.51
205;71.45
206;71.34
207;70.99
208;70.78
209;70.64
210;70.63
211;70.66
212;70.49
213;70.39
214;70.33
215;70.16
216;69.96
217;69.78
218;69.71
219;69.56
220;69.51
221;69.17
222;68.82
223;68.65
224;68.57
225;68.51
226;68.44
227;68.29
228;68.22
229;68.05
230;67.75
231;67.43
232;66.97
233;66.84
234;66.58
235;66.41
236;66.37
237;66.28
238;66.21
239;66.06
240;65.87
241;65.6
242;65.54
243;65.35
244;65.18
245;65.14
246;64.92
247;64.84
248;64.72
249;64.52
250;64.4
251;64.14
252;64.13
253;63.83
254;63.77
255;63.66
256;63.46
257;63.25
258;63.13
259;62.32
260;61.98
261;61.88
262;61.67
263;61.6
264;61.61
265;61.44
266;61.22
267;61.2
268;60.46
269;60.19
270;59.86
271;59.81
272;59.78
273;59.75
274;59.66
275;59.62
276;59.55
277;59.41
278;59.33
279;59.23
