;0;0
0;275.59;275.59
1;274.03;273.92
2;264.44;264.34
3;260.75;260.79
4;260.73;260.76
5;260.66;260.68
6;256.53;257.12
7;256.3;256.87
8;254.96;254.68
9;250.45;250.9
