;derivative_mean;derivative_min;derivative_max
227;55.42;55.42;55.42
228;55.27;55.27;55.27
229;55.07;55.07;55.07
230;54.95;54.95;54.95
231;54.71;54.71;54.71
232;54.61;54.61;54.61
233;54.5;54.5;54.5
234;54.53;54.53;54.53
235;54.38;54.38;54.38
236;54.26;54.26;54.26
237;54.15;54.15;54.15
238;54.02;54.02;54.02
239;53.84;53.84;53.84
240;53.7;53.7;53.7
241;53.61;53.61;53.61
242;53.55;53.55;53.55
243;53.4;53.4;53.4
244;53.31;53.31;53.31
245;53.2;53.2;53.2
246;53.07;53.07;53.07
247;52.95;52.95;52.95
248;52.87;52.87;52.87
249;52.75;52.75;52.75
250;52.62;52.62;52.62
251;52.5;52.5;52.5
252;52.43;52.43;52.43
253;52.32;52.32;52.32
254;52.22;52.22;52.22
255;52.09;52.09;52.09
256;51.94;51.94;51.94
257;51.81;51.81;51.81
258;51.69;51.69;51.69
259;51.56;51.56;51.56
260;51.43;51.43;51.43
261;51.36;51.36;51.36
262;51.17;51.17;51.17
263;51.15;51.15;51.15
264;51.04;51.04;51.04
265;50.93;50.93;50.93
266;50.83;50.83;50.83
267;50.72;50.72;50.72
268;50.64;50.64;50.64
269;50.6;50.6;50.6
270;50.49;50.49;50.49
271;50.33;50.33;50.33
272;50.23;50.23;50.23
273;50.14;50.14;50.14
274;49.97;49.97;49.97
275;49.92;49.92;49.92
276;49.83;49.83;49.83
277;49.77;49.77;49.77
278;49.62;49.62;49.62
279;49.51;49.51;49.51
280;49.4;49.4;49.4
281;49.3;49.3;49.3
282;49.19;49.19;49.19
283;49.09;49.09;49.09
284;48.9;48.9;48.9
285;48.88;48.88;48.88
286;48.74;48.74;48.74
287;48.63;48.63;48.63
288;48.54;48.54;48.54
289;48.46;48.46;48.46
290;48.35;48.35;48.35
291;48.22;48.22;48.22
292;48.16;48.16;48.16
293;48.07;48.07;48.07
294;47.96;47.96;47.96
295;47.86;47.86;47.86
296;47.77;47.77;47.77
297;47.67;47.67;47.67
298;47.52;47.52;47.52
299;47.51;47.51;47.51
300;47.41;47.41;47.41
301;47.28;47.28;47.28
302;47.21;47.21;47.21
303;47.11;47.11;47.11
304;47.0;47.0;47.0
305;46.93;46.93;46.93
306;46.84;46.84;46.84
307;46.71;46.71;46.71
308;46.64;46.64;46.64
309;46.58;46.58;46.58
310;46.41;46.41;46.41
311;46.33;46.33;46.33
312;46.23;46.23;46.23
313;46.09;46.09;46.09
314;46.0;46.0;46.0
315;45.9;45.9;45.9
316;45.79;45.79;45.79
317;45.7;45.7;45.7
318;45.64;45.64;45.64
319;45.55;45.55;45.55
320;45.47;45.47;45.47
321;45.41;45.41;45.41
322;45.35;45.35;45.35
323;45.27;45.27;45.27
324;45.18;45.18;45.18
325;45.11;45.11;45.11
326;45.04;45.04;45.04
327;44.96;44.96;44.96
328;44.88;44.88;44.88
329;44.79;44.79;44.79
330;44.7;44.7;44.7
331;44.67;44.67;44.67
332;44.57;44.57;44.57
333;44.57;44.57;44.57
334;44.48;44.48;44.48
335;44.39;44.39;44.39
336;44.37;44.37;44.37
337;44.24;44.24;44.24
338;44.19;44.19;44.19
339;44.14;44.14;44.14
340;44.06;44.06;44.06
341;44.02;44.02;44.02
342;43.92;43.92;43.92
343;43.83;43.83;43.83
344;43.81;43.81;43.81
345;43.72;43.72;43.72
346;43.63;43.63;43.63
347;43.56;43.56;43.56
348;43.47;43.47;43.47
349;43.41;43.41;43.41
350;43.33;43.33;43.33
351;43.27;43.27;43.27
352;43.17;43.17;43.17
353;43.1;43.1;43.1
354;43.02;43.02;43.02
355;42.96;42.96;42.96
356;42.89;42.89;42.89
357;42.82;42.82;42.82
358;42.72;42.72;42.72
359;42.63;42.63;42.63
360;42.53;42.53;42.53
361;42.48;42.48;42.48
362;42.39;42.39;42.39
363;42.34;42.34;42.34
364;42.27;42.27;42.27
365;42.2;42.2;42.2
366;42.14;42.14;42.14
367;42.05;42.05;42.05
368;41.99;41.99;41.99
369;41.94;41.94;41.94
370;41.88;41.88;41.88
371;41.81;41.81;41.81
372;41.75;41.75;41.75
373;41.68;41.68;41.68
374;41.59;41.59;41.59
375;41.53;41.53;41.53
376;41.45;41.45;41.45
377;41.39;41.39;41.39
378;41.37;41.37;41.37
379;41.3;41.3;41.3
380;41.24;41.24;41.24
381;41.18;41.18;41.18
382;41.12;41.12;41.12
383;41.09;41.09;41.09
384;41.03;41.03;41.03
385;40.98;40.98;40.98
