;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
226;68.44;68.44;68.44
227;68.29;68.29;68.29
228;68.22;68.22;68.22
229;68.05;68.05;68.05
230;67.75;67.75;67.75
231;67.43;67.43;67.43
232;66.97;66.97;66.97
233;66.84;66.84;66.84
234;66.58;66.58;66.58
235;66.41;66.41;66.41
236;66.37;66.37;66.37
237;66.28;66.28;66.28
238;66.21;66.21;66.21
239;66.06;66.06;66.06
240;65.87;65.87;65.87
241;65.6;65.6;65.6
242;65.54;65.54;65.54
243;65.35;65.35;65.35
244;65.18;65.18;65.18
245;65.14;65.14;65.14
246;64.92;64.92;64.92
247;64.84;64.84;64.84
248;64.72;64.72;64.72
249;64.52;64.52;64.52
250;64.4;64.4;64.4
251;64.14;64.14;64.14
252;64.13;64.13;64.13
253;63.83;63.83;63.83
254;63.77;63.77;63.77
255;63.66;63.66;63.66
256;63.46;63.46;63.46
257;63.25;63.25;63.25
258;63.13;63.13;63.13
259;62.32;62.32;62.32
260;61.98;61.98;61.98
261;61.88;61.88;61.88
262;61.67;61.67;61.67
263;61.6;61.6;61.6
264;61.61;61.61;61.61
265;61.44;61.44;61.44
266;61.22;61.22;61.22
267;61.2;61.2;61.2
268;60.46;60.46;60.46
269;60.19;60.19;60.19
270;59.86;59.86;59.86
271;59.81;59.81;59.81
272;59.78;59.78;59.78
273;59.75;59.75;59.75
274;59.66;59.66;59.66
275;59.62;59.62;59.62
276;59.55;59.55;59.55
277;59.41;59.41;59.41
278;59.33;59.33;59.33
279;59.23;59.23;59.23
280;59.23;59.23;59.23
281;59.18;59.18;59.18
282;59.17;59.17;59.17
283;59.13;59.13;59.13
284;59.1;59.1;59.1
285;59.09;59.09;59.09
286;58.88;58.88;58.88
287;58.74;58.74;58.74
288;58.68;58.68;58.68
289;58.45;58.45;58.45
290;58.36;58.36;58.36
291;58.12;58.12;58.12
292;58.0;58.0;58.0
293;57.96;57.96;57.96
294;57.75;57.75;57.75
295;57.62;57.62;57.62
296;57.46;57.46;57.46
297;57.31;57.31;57.31
298;57.3;57.3;57.3
299;57.07;57.07;57.07
300;56.92;56.92;56.92
301;56.8;56.8;56.8
302;56.73;56.73;56.73
303;56.72;56.72;56.72
304;56.49;56.49;56.49
305;56.46;56.46;56.46
306;56.1;56.1;56.1
307;55.99;55.99;55.99
308;55.87;55.87;55.87
309;55.66;55.66;55.66
310;55.52;55.52;55.52
311;55.31;55.31;55.31
312;55.25;55.25;55.25
313;55.22;55.22;55.22
314;55.17;55.17;55.17
315;54.98;54.98;54.98
316;54.82;54.82;54.82
317;54.65;54.65;54.65
318;54.58;54.58;54.58
319;54.48;54.48;54.48
320;54.33;54.33;54.33
321;54.14;54.14;54.14
322;53.97;53.97;53.97
323;53.89;53.89;53.89
324;53.73;53.73;53.73
325;53.69;53.69;53.69
326;53.65;53.65;53.65
327;53.57;53.57;53.57
328;53.55;53.55;53.55
329;53.25;53.25;53.25
330;53.14;53.14;53.14
331;53.08;53.08;53.08
332;52.99;52.99;52.99
333;52.9;52.9;52.9
334;52.8;52.8;52.8
