;0
0;287.84
1;278.29
2;268.49
3;262.73
4;256.22
5;251.26
6;246.45
7;242.63
8;235.22
9;234.38
10;231.02
11;229.07
12;224.43
13;221.61
14;220.64
15;218.8
16;215.85
17;213.48
18;212.3
19;210.19
20;206.6
21;206.26
22;203.45
23;201.84
24;200.88
25;199.73
26;198.67
27;193.96
28;191.51
29;188.33
30;185.86
31;184.66
32;183.4
33;181.96
34;181.19
35;177.38
36;176.4
37;175.71
38;174.43
39;172.74
40;171.79
41;170.94
42;168.48
43;166.33
44;165.83
45;165.3
46;164.26
47;163.46
48;162.93
49;161.58
50;159.26
51;158.39
52;156.22
53;156.27
54;155.88
55;155.2
56;153.34
57;152.6
58;151.33
59;150.79
60;150.18
61;149.14
62;148.82
63;148.5
64;148.05
65;146.4
66;145.96
67;145.4
68;142.62
69;141.16
70;140.62
71;139.85
72;139.45
73;138.64
74;137.56
75;136.81
76;136.27
77;135.9
78;135.63
79;134.45
80;134.01
81;133.68
82;133.39
83;132.27
84;131.65
85;131.47
86;130.51
87;129.75
88;127.9
89;127.6
90;127.58
91;127.3
92;127.13
93;126.92
94;126.04
95;125.51
96;125.21
97;124.95
98;124.8
99;124.7
