;0;0;0
0;287.84;287.84;287.84
1;279.42;279.8;279.8
2;273.05;273.39;275.35
3;268.51;270.85;270.57
4;259.48;262.05;261.77
5;256.3;257.28;257.1
6;251.76;254.39;254.0
7;246.56;249.03;248.65
8;243.43;243.13;245.77
9;236.4;240.48;239.95
10;228.04;232.71;231.4
11;225.06;229.71;228.38
12;223.06;227.44;226.18
13;218.95;224.01;222.74
14;215.88;219.27;218.48
15;214.83;218.05;217.15
16;212.57;213.51;214.97
17;204.93;211.37;211.86
18;201.55;208.17;208.61
19;200.08;207.02;206.85
20;197.85;204.65;204.48
21;196.24;203.01;202.8
22;193.74;201.21;202.02
23;192.16;197.01;198.16
24;191.09;194.39;196.15
25;189.28;191.1;193.11
26;186.25;189.83;192.03
27;184.67;188.1;190.3
28;183.5;186.57;186.59
29;182.78;182.95;185.34
30;179.27;181.87;184.5
31;178.05;180.65;182.52
32;176.31;178.02;179.05
33;174.79;176.87;176.4
34;174.09;176.09;175.69
35;171.7;174.39;174.09
36;170.43;172.36;172.82
37;168.43;171.15;171.86
38;167.82;168.12;171.17
39;165.08;164.55;169.22
40;163.75;163.84;165.85
41;162.83;162.99;165.31
42;160.93;161.64;164.01
43;160.33;161.2;163.27
44;159.3;160.25;162.48
45;157.11;158.05;160.24
46;156.0;157.29;159.26
47;155.66;155.96;157.61
48;154.89;155.57;157.02
49;153.15;154.24;155.32
50;151.82;152.72;153.99
51;151.4;150.17;153.53
52;150.6;149.72;152.24
53;149.88;149.0;151.4
54;148.44;148.2;150.79
55;145.85;147.59;150.01
56;145.63;144.93;147.85
57;145.05;144.53;147.54
58;142.88;142.38;145.47
59;142.14;141.63;144.06
60;140.62;140.75;143.0
61;139.96;140.52;142.59
62;139.76;139.88;141.1
63;138.3;138.44;140.6
64;137.4;137.95;139.96
65;136.89;137.05;138.91
66;136.62;135.98;138.24
67;136.15;135.27;137.28
68;135.58;134.99;137.13
69;135.22;134.57;136.94
70;133.84;133.84;136.5
71;132.74;133.15;135.91
72;132.18;132.61;135.68
73;131.77;132.17;133.94
74;131.35;131.86;132.85
75;130.26;130.77;132.36
76;128.48;130.37;131.27
77;128.32;129.56;131.03
78;127.85;128.08;130.72
79;127.16;127.59;130.35
80;126.77;127.32;129.63
81;125.92;125.6;128.05
82;124.49;125.17;127.59
83;123.8;124.83;126.8
84;123.59;124.09;125.91
85;123.25;123.69;125.69
86;122.85;123.41;125.28
87;122.66;122.75;125.08
88;122.26;122.43;124.75
89;121.77;121.59;124.01
90;121.03;121.0;123.17
91;120.2;120.61;123.01
92;119.76;120.08;122.62
93;119.66;119.78;122.16
94;119.06;119.59;121.63
95;118.75;118.79;120.38
96;118.66;118.52;119.8
97;118.3;118.29;119.19
98;117.95;117.83;119.0
99;117.63;117.04;118.71
100;116.39;116.14;118.44
101;115.8;115.58;118.23
102;115.53;115.31;117.47
103;115.34;115.01;116.3
104;114.07;114.88;115.99
105;113.83;114.37;115.62
106;113.18;114.05;115.45
107;112.71;113.09;115.2
108;112.33;112.87;114.68
109;112.23;112.59;114.04
110;111.97;112.09;113.58
111;111.74;111.84;113.47
112;111.55;111.77;113.2
113;111.22;111.16;112.93
114;110.71;110.86;112.46
115;110.56;110.46;111.71
116;110.3;110.05;111.51
117;109.81;109.81;111.36
118;109.54;109.57;111.14
119;109.12;108.94;110.89
120;108.33;108.88;110.29
121;108.13;108.65;109.87
122;107.61;108.53;109.71
123;107.43;107.89;109.35
124;106.88;107.81;108.65
125;106.67;107.67;108.45
126;106.37;107.15;108.22
127;105.55;106.93;107.7
128;105.48;106.44;107.57
129;105.26;106.27;107.2
130;104.92;105.97;106.98
131;104.69;105.86;106.38
132;104.51;105.69;106.3
133;104.03;105.34;106.12
134;103.97;105.32;105.94
135;103.64;104.94;105.84
