;0
0;287.84
1;278.29
2;268.49
3;262.73
4;256.22
5;251.26
6;246.45
7;242.63
8;235.22
9;234.38
10;231.02
11;229.07
12;224.43
13;221.61
14;220.64
15;218.8
16;215.85
17;213.48
18;212.3
19;210.19
20;206.6
21;206.26
22;203.45
23;201.84
24;200.88
25;199.73
26;198.67
27;193.96
28;191.51
29;188.33
30;185.86
31;184.66
32;183.4
33;181.96
34;181.19
35;177.38
36;176.4
37;175.71
38;174.43
39;172.74
40;171.79
41;170.94
42;168.48
43;166.33
44;165.83
45;165.3
46;164.26
47;163.46
48;162.93
49;161.58
50;159.26
51;158.39
52;156.22
53;156.27
54;155.88
55;155.2
56;153.34
57;152.6
58;151.33
59;150.79
60;150.18
61;149.14
62;148.82
63;148.5
64;148.05
65;146.4
66;145.96
67;145.4
68;142.62
69;141.16
70;140.62
71;139.85
72;139.45
73;138.64
74;137.56
75;136.81
76;136.27
77;135.9
78;135.63
79;134.45
80;134.01
81;133.68
82;133.39
83;132.27
84;131.65
85;131.47
86;130.51
87;129.75
88;127.9
89;127.6
90;127.58
91;127.3
92;127.13
93;126.92
94;126.04
95;125.51
96;125.21
97;124.95
98;124.8
99;124.7
100;122.99
101;122.72
102;121.98
103;121.32
104;121.35
105;120.66
106;120.35
107;120.13
108;119.7
109;119.44
110;118.77
111;118.59
112;118.25
113;118.12
114;117.95
115;116.64
116;116.45
117;116.01
118;115.76
119;115.12
120;114.54
121;114.19
122;114.01
123;114.0
124;113.43
125;113.28
126;113.18
127;113.09
128;112.92
129;112.73
130;112.4
131;111.81
132;110.74
133;110.22
134;110.06
135;109.97
136;109.48
137;109.05
138;108.87
139;108.78
140;107.9
141;107.71
142;107.56
143;107.14
144;106.9
145;106.72
146;106.46
147;106.26
148;105.14
149;104.99
150;104.64
151;104.49
152;104.26
153;103.85
154;103.49
155;103.41
156;102.66
157;102.61
158;102.37
159;102.23
160;102.18
161;101.83
162;101.73
163;101.6
164;101.24
165;101.27
166;101.08
167;100.87
168;100.78
169;100.48
170;99.85
171;99.64
172;99.1
173;99.0
174;98.61
175;98.32
176;98.25
177;98.15
178;97.56
179;97.42
180;97.38
181;97.26
182;97.07
183;96.79
184;96.67
185;96.54
186;96.28
