;expVisits_mean;expVisits_min;expVisits_max
0;275.59;275.59;275.59
1;269.13;269.13;269.13
2;264.44;264.44;264.44
3;260.85;260.85;260.85
4;256.19;256.19;256.19
5;252.61;252.61;252.61
6;247.88;247.88;247.88
7;238.55;238.55;238.55
8;235.91;235.91;235.91
9;231.7;231.7;231.7
10;229.65;229.65;229.65
11;226.58;226.58;226.58
12;224.27;224.27;224.27
13;218.38;218.38;218.38
14;216.22;216.22;216.22
15;214.71;214.71;214.71
16;213.1;213.1;213.1
17;211.17;211.17;211.17
18;207.18;207.18;207.18
19;204.76;204.76;204.76
20;203.39;203.39;203.39
21;198.35;198.35;198.35
22;196.41;196.41;196.41
23;193.13;193.13;193.13
24;192.03;192.03;192.03
25;190.9;190.9;190.9
26;189.33;189.33;189.33
27;187.96;187.96;187.96
28;186.97;186.97;186.97
29;184.4;184.4;184.4
30;183.63;183.63;183.63
31;181.9;181.9;181.9
32;178.61;178.61;178.61
33;177.68;177.68;177.68
34;176.51;176.51;176.51
35;174.2;174.2;174.2
36;168.2;168.2;168.2
37;167.55;167.55;167.55
38;166.41;166.41;166.41
39;165.59;165.59;165.59
40;165.01;165.01;165.01
41;164.14;164.14;164.14
42;162.52;162.52;162.52
43;161.52;161.52;161.52
44;159.42;159.42;159.42
45;158.92;158.92;158.92
46;158.04;158.04;158.04
47;157.48;157.48;157.48
48;152.15;152.15;152.15
49;150.07;150.07;150.07
50;148.8;148.8;148.8
51;148.37;148.37;148.37
52;147.69;147.69;147.69
53;147.29;147.29;147.29
54;146.95;146.95;146.95
55;146.4;146.4;146.4
56;145.97;145.97;145.97
57;144.95;144.95;144.95
58;144.41;144.41;144.41
59;144.07;144.07;144.07
60;143.18;143.18;143.18
61;141.73;141.73;141.73
62;140.74;140.74;140.74
63;138.13;138.13;138.13
64;137.78;137.78;137.78
65;137.5;137.5;137.5
66;137.02;137.02;137.02
67;135.51;135.51;135.51
68;135.13;135.13;135.13
69;134.41;134.41;134.41
70;134.16;134.16;134.16
71;133.75;133.75;133.75
72;133.19;133.19;133.19
73;132.58;132.58;132.58
74;132.32;132.32;132.32
75;131.87;131.87;131.87
76;128.94;128.94;128.94
77;126.42;126.42;126.42
78;125.4;125.4;125.4
79;124.78;124.78;124.78
80;124.54;124.54;124.54
81;124.15;124.15;124.15
82;123.93;123.93;123.93
83;123.63;123.63;123.63
84;122.61;122.61;122.61
85;122.17;122.17;122.17
86;121.98;121.98;121.98
87;121.45;121.45;121.45
88;121.24;121.24;121.24
89;120.87;120.87;120.87
90;120.65;120.65;120.65
91;120.15;120.15;120.15
92;118.76;118.76;118.76
93;118.5;118.5;118.5
94;118.32;118.32;118.32
95;117.5;117.5;117.5
96;117.04;117.04;117.04
97;116.83;116.83;116.83
98;116.35;116.35;116.35
99;116.17;116.17;116.17
100;116.03;116.03;116.03
101;115.27;115.27;115.27
102;115.13;115.13;115.13
103;114.84;114.84;114.84
104;114.24;114.24;114.24
105;114.06;114.06;114.06
106;113.68;113.68;113.68
107;111.64;111.64;111.64
108;111.33;111.33;111.33
109;111.21;111.21;111.21
110;110.9;110.9;110.9
111;110.66;110.66;110.66
112;110.47;110.47;110.47
113;110.33;110.33;110.33
114;109.11;109.11;109.11
115;108.42;108.42;108.42
116;108.18;108.18;108.18
117;107.89;107.89;107.89
118;107.77;107.77;107.77
119;107.57;107.57;107.57
120;106.51;106.51;106.51
