;expVisits_mean;expVisits_min;expVisits_max
121;106.28;106.28;106.28
122;106.13;106.13;106.13
123;105.49;105.49;105.49
124;105.38;105.38;105.38
125;105.09;105.09;105.09
126;104.98;104.98;104.98
127;103.6;103.6;103.6
128;103.42;103.42;103.42
129;102.88;102.88;102.88
130;102.61;102.61;102.61
131;101.2;101.2;101.2
132;101.03;101.03;101.03
133;100.74;100.74;100.74
134;100.62;100.62;100.62
135;100.52;100.52;100.52
136;100.29;100.29;100.29
137;99.87;99.87;99.87
138;99.78;99.78;99.78
139;99.6;99.6;99.6
140;99.42;99.42;99.42
141;99.28;99.28;99.28
142;99.06;99.06;99.06
143;98.97;98.97;98.97
144;98.52;98.52;98.52
145;98.35;98.35;98.35
146;98.26;98.26;98.26
147;97.86;97.86;97.86
148;97.68;97.68;97.68
149;97.56;97.56;97.56
150;97.4;97.4;97.4
151;97.34;97.34;97.34
152;95.88;95.88;95.88
153;95.75;95.75;95.75
154;94.68;94.68;94.68
155;94.62;94.62;94.62
156;94.22;94.22;94.22
157;94.04;94.04;94.04
158;93.71;93.71;93.71
159;93.51;93.51;93.51
160;93.41;93.41;93.41
161;93.3;93.3;93.3
162;93.24;93.24;93.24
163;93.06;93.06;93.06
164;92.65;92.65;92.65
165;92.32;92.32;92.32
166;91.96;91.96;91.96
167;91.89;91.89;91.89
168;91.76;91.76;91.76
169;91.68;91.68;91.68
170;91.58;91.58;91.58
171;91.41;91.41;91.41
172;91.2;91.2;91.2
173;91.14;91.14;91.14
174;90.96;90.96;90.96
175;90.9;90.9;90.9
176;90.28;90.28;90.28
177;90.02;90.02;90.02
178;89.84;89.84;89.84
179;89.71;89.71;89.71
180;89.25;89.25;89.25
181;88.96;88.96;88.96
182;88.88;88.88;88.88
183;88.82;88.82;88.82
184;88.67;88.67;88.67
185;88.6;88.6;88.6
186;88.54;88.54;88.54
187;88.43;88.43;88.43
188;88.31;88.31;88.31
189;88.22;88.22;88.22
190;87.74;87.74;87.74
191;87.69;87.69;87.69
192;87.54;87.54;87.54
193;86.82;86.82;86.82
194;86.48;86.48;86.48
195;86.42;86.42;86.42
196;86.19;86.19;86.19
197;86.11;86.11;86.11
198;85.95;85.95;85.95
199;85.71;85.71;85.71
200;85.58;85.58;85.58
201;85.52;85.52;85.52
202;85.41;85.41;85.41
203;85.36;85.36;85.36
204;84.89;84.89;84.89
205;84.75;84.75;84.75
206;84.38;84.38;84.38
207;84.33;84.33;84.33
208;84.24;84.24;84.24
209;84.18;84.18;84.18
210;84.1;84.1;84.1
211;84.04;84.04;84.04
212;83.97;83.97;83.97
213;83.86;83.86;83.86
214;83.23;83.23;83.23
215;83.17;83.17;83.17
216;82.96;82.96;82.96
217;82.73;82.73;82.73
218;82.62;82.62;82.62
219;82.58;82.58;82.58
220;82.51;82.51;82.51
221;82.22;82.22;82.22
222;82.17;82.17;82.17
223;82.06;82.06;82.06
224;81.96;81.96;81.96
225;81.89;81.89;81.89
226;81.79;81.79;81.79
227;81.75;81.75;81.75
228;81.7;81.7;81.7
229;81.65;81.65;81.65
230;81.43;81.43;81.43
231;80.85;80.85;80.85
232;80.74;80.74;80.74
233;80.69;80.69;80.69
234;80.38;80.38;80.38
235;80.24;80.24;80.24
236;80.03;80.03;80.03
237;79.96;79.96;79.96
238;79.93;79.93;79.93
239;79.37;79.37;79.37
240;79.28;79.28;79.28
241;79.22;79.22;79.22
242;79.12;79.12;79.12
243;78.85;78.85;78.85
244;78.82;78.82;78.82
245;78.77;78.77;78.77
246;78.74;78.74;78.74
247;78.65;78.65;78.65
248;78.59;78.59;78.59
249;78.54;78.54;78.54
250;78.45;78.45;78.45
251;78.42;78.42;78.42
252;78.19;78.19;78.19
253;77.7;77.7;77.7
254;77.65;77.65;77.65
255;77.5;77.5;77.5
256;77.39;77.39;77.39
257;77.31;77.31;77.31
258;77.25;77.25;77.25
259;77.21;77.21;77.21
260;77.17;77.17;77.17
261;76.84;76.84;76.84
262;76.51;76.51;76.51
263;76.49;76.49;76.49
264;76.42;76.42;76.42
265;75.82;75.82;75.82
266;75.74;75.74;75.74
267;75.69;75.69;75.69
268;75.61;75.61;75.61
269;75.48;75.48;75.48
270;75.44;75.44;75.44
271;75.4;75.4;75.4
272;75.35;75.35;75.35
273;75.32;75.32;75.32
274;75.14;75.14;75.14
275;75.07;75.07;75.07
276;74.97;74.97;74.97
277;74.91;74.91;74.91
278;74.88;74.88;74.88
279;74.84;74.84;74.84
280;74.75;74.75;74.75
281;74.68;74.68;74.68
282;74.63;74.63;74.63
283;74.6;74.6;74.6
284;74.45;74.45;74.45
285;74.4;74.4;74.4
286;74.14;74.14;74.14
287;74.09;74.09;74.09
288;73.94;73.94;73.94
289;73.91;73.91;73.91
290;73.87;73.87;73.87
291;73.82;73.82;73.82
292;73.74;73.74;73.74
293;73.43;73.43;73.43
294;73.36;73.36;73.36
295;73.02;73.02;73.02
296;72.99;72.99;72.99
297;72.96;72.96;72.96
298;72.91;72.91;72.91
299;72.87;72.87;72.87
300;72.79;72.79;72.79
301;72.76;72.76;72.76
302;72.7;72.7;72.7
303;72.65;72.65;72.65
304;72.64;72.64;72.64
305;72.5;72.5;72.5
306;72.47;72.47;72.47
307;72.44;72.44;72.44
308;72.37;72.37;72.37
309;72.32;72.32;72.32
310;72.02;72.02;72.02
311;72.0;72.0;72.0
312;71.75;71.75;71.75
313;71.67;71.67;71.67
314;71.65;71.65;71.65
315;71.61;71.61;71.61
316;71.55;71.55;71.55
317;71.53;71.53;71.53
318;71.49;71.49;71.49
319;71.0;71.0;71.0
320;70.78;70.78;70.78
321;70.76;70.76;70.76
322;70.7;70.7;70.7
323;70.61;70.61;70.61
324;70.53;70.53;70.53
325;70.38;70.38;70.38
326;70.23;70.23;70.23
327;70.19;70.19;70.19
328;70.15;70.15;70.15
329;70.13;70.13;70.13
330;70.09;70.09;70.09
331;70.01;70.01;70.01
332;69.97;69.97;69.97
333;69.95;69.95;69.95
334;69.92;69.92;69.92
335;69.54;69.54;69.54
336;69.49;69.49;69.49
337;69.44;69.44;69.44
338;69.27;69.27;69.27
339;69.22;69.22;69.22
340;69.2;69.2;69.2
341;69.16;69.16;69.16
342;69.06;69.06;69.06
343;69.02;69.02;69.02
344;69.0;69.0;69.0
345;68.98;68.98;68.98
346;68.95;68.95;68.95
347;68.72;68.72;68.72
348;68.47;68.47;68.47
349;68.36;68.36;68.36
350;68.33;68.33;68.33
351;68.29;68.29;68.29
352;68.24;68.24;68.24
353;68.18;68.18;68.18
354;68.14;68.14;68.14
355;68.11;68.11;68.11
356;68.1;68.1;68.1
357;68.06;68.06;68.06
358;67.88;67.88;67.88
359;67.83;67.83;67.83
360;67.81;67.81;67.81
361;67.65;67.65;67.65
362;67.61;67.61;67.61
363;67.51;67.51;67.51
364;67.26;67.26;67.26
365;67.22;67.22;67.22
366;67.21;67.21;67.21
367;67.17;67.17;67.17
368;67.11;67.11;67.11
369;67.05;67.05;67.05
370;66.71;66.71;66.71
371;66.67;66.67;66.67
372;66.66;66.66;66.66
373;66.57;66.57;66.57
374;66.55;66.55;66.55
375;66.4;66.4;66.4
376;66.37;66.37;66.37
377;66.35;66.35;66.35
378;66.05;66.05;66.05
379;66.01;66.01;66.01
380;65.76;65.76;65.76
381;65.74;65.74;65.74
382;65.65;65.65;65.65
383;65.62;65.62;65.62
384;65.59;65.59;65.59
385;65.55;65.55;65.55
386;65.49;65.49;65.49
387;65.46;65.46;65.46
388;65.42;65.42;65.42
389;65.41;65.41;65.41
390;65.38;65.38;65.38
391;65.34;65.34;65.34
392;65.33;65.33;65.33
393;65.31;65.31;65.31
394;65.27;65.27;65.27
395;65.26;65.26;65.26
396;65.23;65.23;65.23
397;65.17;65.17;65.17
398;65.16;65.16;65.16
399;64.81;64.81;64.81
400;64.8;64.8;64.8
401;64.76;64.76;64.76
402;64.64;64.64;64.64
403;64.63;64.63;64.63
404;64.59;64.59;64.59
405;64.54;64.54;64.54
406;64.36;64.36;64.36
407;64.11;64.11;64.11
408;64.08;64.08;64.08
409;64.06;64.06;64.06
410;64.05;64.05;64.05
411;64.04;64.04;64.04
412;64.01;64.01;64.01
413;63.95;63.95;63.95
414;63.84;63.84;63.84
415;63.79;63.79;63.79
416;63.75;63.75;63.75
417;63.14;63.14;63.14
418;63.13;63.13;63.13
419;63.07;63.07;63.07
420;63.04;63.04;63.04
421;63.02;63.02;63.02
422;62.98;62.98;62.98
423;62.84;62.84;62.84
424;62.83;62.83;62.83
425;62.79;62.79;62.79
426;62.78;62.78;62.78
427;62.76;62.76;62.76
428;62.62;62.62;62.62
429;62.39;62.39;62.39
430;62.19;62.19;62.19
431;62.17;62.17;62.17
432;62.11;62.11;62.11
433;62.1;62.1;62.1
434;62.07;62.07;62.07
435;62.04;62.04;62.04
436;62.02;62.02;62.02
437;61.94;61.94;61.94
438;61.92;61.92;61.92
439;61.91;61.91;61.91
440;61.71;61.71;61.71
441;61.68;61.68;61.68
442;61.65;61.65;61.65
443;61.63;61.63;61.63
444;61.62;61.62;61.62
445;61.6;61.6;61.6
446;61.56;61.56;61.56
447;61.54;61.54;61.54
448;61.21;61.21;61.21
449;61.18;61.18;61.18
450;61.14;61.14;61.14
451;61.13;61.13;61.13
452;61.04;61.04;61.04
453;60.84;60.84;60.84
454;60.83;60.83;60.83
455;60.81;60.81;60.81
456;60.75;60.75;60.75
457;60.73;60.73;60.73
458;60.72;60.72;60.72
459;60.7;60.7;60.7
460;60.67;60.67;60.67
461;60.58;60.58;60.58
462;60.57;60.57;60.57
463;60.42;60.42;60.42
464;60.39;60.39;60.39
465;60.35;60.35;60.35
466;60.32;60.32;60.32
467;60.31;60.31;60.31
468;60.23;60.23;60.23
469;60.19;60.19;60.19
470;60.17;60.17;60.17
471;60.16;60.16;60.16
472;60.13;60.13;60.13
473;60.01;60.01;60.01
474;60.0;60.0;60.0
475;59.98;59.98;59.98
476;59.72;59.72;59.72
477;59.65;59.65;59.65
478;59.63;59.63;59.63
479;59.6;59.6;59.6
480;59.57;59.57;59.57
481;59.46;59.46;59.46
482;59.43;59.43;59.43
483;59.42;59.42;59.42
484;59.41;59.41;59.41
485;59.39;59.39;59.39
486;59.37;59.37;59.37
487;59.35;59.35;59.35
488;59.34;59.34;59.34
489;59.27;59.27;59.27
490;59.12;59.12;59.12
491;59.12;59.12;59.12
492;59.1;59.1;59.1
493;59.03;59.03;59.03
494;58.96;58.96;58.96
495;58.93;58.93;58.93
496;58.9;58.9;58.9
497;58.88;58.88;58.88
498;58.86;58.86;58.86
499;58.85;58.85;58.85
