;derivative_mean;derivative_min;derivative_max;samples_mean;samples_min;samples_max
0;242.46499999999997;209.34;275.59;170.225;164.88;175.57
1;234.685;204.54;264.83;168.79000000000002;162.97;174.61
2;228.245;200.87;255.62;167.595;162.96;172.23
3;223.07999999999998;197.34;248.82;167.53;162.85;172.21
4;217.325;193.22;241.43;167.195;162.22;172.17
5;212.015;189.26;234.77;165.925;162.2;169.65
6;207.97000000000003;187.08;228.86;165.155;160.8;169.51
7;203.72;183.92;223.52;164.195;160.18;168.21
8;198.82999999999998;180.91;216.75;163.91;159.78;168.04
9;196.05;178.33;213.77;163.315;159.73;166.9
