;0;0;0
228;88.88;88.39;89.29
229;88.77;88.3;89.17
230;88.7;88.3;88.61
231;88.07;88.25;88.58
232;88.0;88.17;88.51
233;87.96;87.63;88.31
234;87.75;87.57;88.24
235;87.72;87.4;88.21
236;87.67;87.37;88.04
237;87.52;87.23;87.95
238;87.34;87.05;87.77
239;87.15;87.0;87.61
240;87.07;86.92;87.61
241;86.96;86.73;87.56
242;86.93;86.57;87.44
243;86.88;86.54;87.34
244;86.85;86.5;87.3
245;86.76;86.48;86.98
246;86.7;86.41;86.92
247;86.36;86.11;86.95
248;86.19;86.06;86.89
249;85.3;85.74;86.29
250;85.2;85.75;86.13
251;84.87;85.63;86.09
252;84.88;85.44;85.77
253;84.82;85.38;85.73
254;84.73;85.24;85.54
255;84.54;85.08;85.44
256;84.45;85.0;85.29
257;84.3;84.97;85.24
258;84.25;84.36;85.15
259;84.16;84.19;85.08
260;84.1;84.14;85.03
261;84.06;84.12;84.27
262;84.03;84.04;84.19
263;83.65;84.02;84.13
264;83.57;83.96;83.97
265;83.54;83.82;83.92
266;83.4;83.72;83.83
267;83.36;82.96;83.83
268;83.22;82.91;83.75
269;83.2;82.78;83.58
270;83.16;82.74;83.31
271;83.11;82.7;83.13
272;83.0;82.41;83.06
273;82.74;82.27;83.03
274;82.58;82.08;82.99
275;82.53;81.77;82.86
276;82.45;81.74;82.58
277;82.38;81.71;82.46
278;82.36;81.66;82.38
279;82.23;81.61;82.42
280;82.17;81.53;82.36
281;81.89;81.41;82.23
282;81.89;81.34;82.15
283;81.83;81.22;82.15
284;81.78;81.18;82.08
285;81.73;81.16;82.08
286;81.7;81.16;82.01
287;81.62;81.12;81.99
288;81.54;80.97;81.91
289;81.42;80.93;81.86
290;81.39;80.81;81.72
291;81.34;80.76;81.55
292;81.32;80.68;81.43
293;81.2;80.66;81.31
294;81.14;80.61;81.27
295;81.1;80.48;81.23
296;81.06;80.34;81.19
297;80.86;80.3;80.96
298;80.78;80.28;80.71
299;80.81;80.21;80.7
300;80.72;79.99;80.7
301;80.66;79.98;80.22
302;80.65;79.75;80.14
303;80.55;79.7;79.48
304;80.53;79.62;79.42
305;80.42;79.54;79.33
306;80.32;79.5;79.3
307;80.3;79.4;79.19
308;80.05;79.37;79.11
309;79.98;79.33;79.03
310;79.89;78.92;79.03
311;79.47;78.82;78.98
312;79.44;78.82;78.94
313;79.38;78.7;78.81
314;79.35;78.68;78.71
315;79.25;78.65;78.67
316;79.17;78.19;78.65
317;78.8;78.12;78.47
318;78.76;78.07;78.39
319;78.66;78.05;78.37
320;78.53;78.05;78.27
321;78.49;78.01;78.25
322;78.47;77.9;78.04
323;78.41;77.79;77.98
324;78.37;77.58;77.78
325;78.34;77.51;77.74
326;78.14;77.38;77.73
327;78.04;77.3;77.71
328;78.0;77.27;77.62
329;77.93;77.06;77.54
330;77.89;77.04;77.5
331;77.77;77.02;77.38
332;77.72;77.01;77.31
333;77.52;76.99;77.3
334;77.46;76.88;77.26
335;77.45;76.82;77.2
336;77.41;76.82;77.11
337;77.31;76.78;77.09
338;77.27;76.69;77.06
339;77.22;76.69;76.66
340;77.2;76.6;76.62
341;77.13;76.56;76.6
342;77.06;76.49;76.55
343;77.04;75.94;76.48
344;76.97;75.94;76.41
345;76.91;75.87;76.32
346;76.9;75.84;76.28
347;76.88;75.74;76.11
348;76.78;75.7;76.0
349;76.69;75.69;75.91
350;76.63;75.57;75.88
351;76.39;75.53;75.7
352;76.37;75.35;75.66
353;76.2;75.19;75.52
354;76.18;75.1;75.48
355;76.15;75.08;75.42
356;76.13;75.05;75.43
357;76.07;75.01;75.43
358;76.05;74.93;75.41
359;75.87;74.93;75.36
360;75.74;74.95;75.34
361;75.7;74.93;74.89
362;75.65;74.86;74.81
363;75.26;74.82;74.8
364;75.23;74.76;74.72
365;75.13;74.78;74.69
366;75.1;74.75;74.62
367;75.1;74.68;74.41
368;74.65;74.65;74.36
369;74.58;74.57;74.34
370;74.5;74.1;74.26
371;74.4;74.07;74.23
372;74.34;74.01;74.17
373;73.4;74.0;74.17
374;73.36;73.91;74.13
375;73.34;73.85;73.97
376;73.31;73.69;73.94
377;72.68;73.6;73.81
378;72.56;73.56;73.12
379;72.53;73.41;72.94
380;72.5;73.36;72.9
381;72.51;73.28;71.88
382;72.36;73.21;71.8
383;72.3;73.14;71.76
384;72.22;72.92;71.68
385;72.22;72.22;71.66
386;72.18;71.09;71.6
387;72.13;71.02;71.57
388;71.91;71.0;71.51
389;71.87;70.94;71.48
390;71.72;70.91;71.42
391;71.67;70.86;71.4
392;71.59;70.83;71.36
393;71.58;70.56;71.35
394;71.51;70.5;71.32
395;71.47;70.47;71.26
396;71.42;70.44;71.24
397;71.39;70.37;71.18
398;71.37;70.31;71.17
399;71.32;70.29;70.88
400;71.28;70.21;70.83
401;71.22;70.13;70.78
402;71.17;70.09;70.76
403;71.16;70.09;70.73
404;70.96;70.05;70.59
405;70.89;70.03;70.47
406;70.82;69.88;70.4
407;70.8;69.74;70.4
408;70.68;69.72;70.36
409;70.67;69.72;70.33
410;70.66;69.7;70.27
411;70.55;69.62;70.22
412;70.51;69.6;70.17
413;70.47;69.52;70.14
414;70.42;69.48;70.11
415;70.41;69.47;70.0
416;70.27;69.42;69.99
417;70.26;69.37;69.93
418;70.2;69.35;69.89
419;70.19;69.31;69.83
420;70.13;69.3;69.83
421;70.04;69.12;69.8
422;69.99;69.11;69.76
423;69.97;68.96;69.7
424;69.92;68.91;69.66
425;69.9;68.89;69.37
426;69.59;68.84;69.32
427;69.54;68.75;69.32
428;69.5;68.72;68.87
429;69.42;68.67;68.75
430;69.35;68.61;68.69
431;69.34;68.59;68.67
432;69.31;68.53;68.54
433;69.2;68.51;68.51
434;69.19;68.49;68.44
435;69.13;68.36;68.42
436;69.08;68.31;68.39
437;69.06;68.32;68.32
438;69.02;67.91;68.3
439;69.01;67.69;68.28
440;68.99;67.65;68.22
441;68.87;67.63;68.15
442;68.83;67.57;68.14
443;68.85;67.55;68.12
444;68.48;67.47;68.08
445;68.37;67.44;68.06
446;68.36;67.44;67.99
447;68.29;67.41;67.97
448;68.24;67.34;67.95
449;68.26;67.33;67.93
450;68.21;67.29;67.88
451;68.17;67.22;67.84
452;68.13;67.19;67.83
453;68.12;67.16;67.79
454;68.08;67.11;67.74
455;68.04;67.1;67.68
456;68.0;66.99;67.67
457;67.97;66.87;67.66
458;67.78;66.82;67.64
459;67.77;66.81;67.54
460;67.74;66.78;67.26
461;67.64;66.77;67.14
462;67.59;66.73;67.12
463;67.54;66.69;66.81
464;67.52;66.67;66.81
465;67.49;66.64;66.77
466;67.45;66.62;66.74
467;67.39;66.39;66.68
468;67.05;65.93;66.67
469;66.89;65.75;66.66
470;66.42;65.74;66.61
471;66.4;65.7;66.6
472;66.12;65.69;66.53
473;66.1;65.67;66.48
474;65.99;65.62;66.45
475;65.53;65.56;66.44
476;65.51;65.56;66.4
477;65.48;65.52;66.38
478;65.42;65.53;66.35
479;65.45;65.53;66.33
480;65.41;65.46;65.73
481;65.38;65.38;65.68
482;65.37;65.32;65.63
483;65.31;65.3;65.6
484;64.97;65.2;65.5
485;64.96;65.18;65.45
486;64.91;65.17;65.22
487;64.82;64.83;65.21
488;64.82;64.77;65.11
489;64.79;64.72;64.95
490;64.74;64.69;64.36
491;64.71;64.67;63.96
492;64.66;64.62;63.93
493;64.63;64.19;63.9
494;64.62;64.18;63.87
495;64.61;63.54;63.85
496;64.33;63.51;63.82
497;64.29;63.52;63.79
498;64.19;63.35;63.77
499;64.16;63.31;63.73
