;0;0;0;0;0
144;143.52;143.81;143.25;132.89;167.6
145;143.4;142.03;141.06;132.88;167.39
146;141.6;141.84;139.13;131.56;167.22
147;140.46;141.49;139.0;131.37;166.43
148;140.25;141.48;138.92;131.06;166.17
149;140.1;141.34;138.87;130.39;163.85
150;140.04;141.33;138.82;129.91;163.2
151;139.85;140.92;138.61;129.72;161.13
152;139.25;140.9;137.98;128.83;160.42
153;138.74;138.28;137.88;127.31;160.23
154;133.46;138.05;137.82;126.99;159.76
155;133.45;136.49;137.41;126.61;159.75
156;133.06;136.36;137.3;126.23;158.84
157;131.91;136.2;136.55;126.01;158.77
158;131.54;136.11;136.43;125.25;158.36
159;131.02;136.03;134.05;125.2;156.63
160;131.01;135.85;133.71;125.08;156.5
161;130.69;134.99;132.42;120.53;156.32
162;130.64;134.4;129.03;120.41;156.14
163;130.41;134.16;128.96;120.26;155.89
164;130.33;134.03;127.88;119.81;154.35
165;130.11;133.0;125.38;119.35;152.16
166;125.91;132.5;124.53;119.1;151.74
167;124.41;132.49;123.08;117.85;151.66
168;124.39;131.26;122.88;116.68;151.26
169;123.5;131.06;122.72;116.66;149.82
170;123.11;129.34;122.55;116.47;149.81
171;122.7;129.09;122.42;116.32;149.77
172;122.67;128.4;122.38;116.28;149.63
173;121.5;126.9;122.31;116.1;149.52
174;121.17;126.74;122.1;115.19;149.02
175;120.66;126.69;121.79;115.02;146.62
176;120.44;126.68;121.62;114.94;146.42
177;120.4;124.79;121.14;114.1;145.36
178;119.21;124.57;121.09;113.97;145.28
179;118.95;123.71;120.07;113.87;145.09
180;118.88;122.79;119.88;113.45;144.72
181;118.51;122.7;119.85;112.96;144.62
182;118.45;122.46;119.2;112.93;144.48
183;118.38;122.13;118.49;112.71;144.36
184;118.26;119.17;118.28;112.5;144.19
185;118.16;117.97;117.55;112.06;144.15
186;118.03;117.96;117.36;110.8;143.79
187;117.94;117.95;116.6;110.55;143.47
188;117.88;116.95;116.59;110.34;143.36
189;114.14;116.73;116.52;109.99;143.16
190;114.13;116.67;116.28;109.03;143.03
191;113.94;116.54;115.87;108.72;142.92
192;113.58;115.74;115.81;108.57;142.71
193;113.39;115.6;115.62;107.9;142.63
194;113.15;114.9;115.58;107.19;139.55
195;112.87;114.69;114.1;107.01;139.45
196;112.4;114.52;114.08;106.79;137.59
197;110.89;114.5;114.07;106.56;137.42
198;110.86;114.18;113.52;106.23;136.13
199;110.66;114.09;113.2;106.03;135.82
200;110.57;114.03;111.3;105.98;135.0
201;109.86;113.68;111.02;106.0;130.35
202;109.73;113.5;110.9;105.75;130.35
203;109.07;112.25;110.88;105.54;130.0
204;108.72;111.65;109.09;105.08;128.78
205;108.76;111.41;108.75;104.9;128.56
206;108.61;111.26;108.43;104.48;128.34
207;108.56;111.24;108.3;103.88;128.29
208;108.48;111.14;108.19;102.83;125.94
209;108.38;111.13;108.12;102.59;125.9
210;108.38;111.03;108.11;102.58;125.81
211;108.28;111.02;107.57;102.45;125.31
212;106.24;110.75;107.23;102.41;124.22
213;105.41;110.7;107.01;102.14;124.01
214;105.23;110.01;106.85;102.01;122.91
215;103.72;109.96;106.39;101.9;122.83
216;103.46;108.59;103.66;101.8;122.4
217;103.25;108.31;103.62;101.22;121.5
218;102.13;107.89;103.37;101.18;121.39
219;102.11;107.89;102.22;101.03;120.12
220;101.84;105.05;102.16;100.5;120.08
221;101.37;104.67;102.07;100.49;120.05
222;101.36;104.52;101.97;100.47;120.04
223;101.27;104.4;100.97;100.38;120.05
224;100.88;104.26;100.8;100.2;119.91
225;99.37;103.82;100.18;100.18;119.89
226;98.95;103.55;100.0;100.08;119.89
227;98.47;103.25;99.95;99.67;119.87
228;98.17;103.08;98.36;99.58;119.1
229;97.96;102.6;98.13;99.11;119.02
230;97.86;102.35;98.06;98.86;118.34
231;97.71;102.25;98.05;98.79;118.24
232;97.61;101.28;98.04;98.79;118.02
233;97.47;101.27;97.75;97.43;117.99
234;97.4;100.72;97.27;97.02;115.95
235;97.35;100.3;97.23;97.01;115.11
236;97.32;100.18;97.17;96.99;114.81
237;97.3;99.49;96.72;95.68;114.65
238;97.17;99.39;96.57;94.55;114.16
239;96.69;99.31;96.49;94.52;114.01
240;96.55;99.27;96.44;93.9;112.49
241;96.46;99.2;96.38;93.88;112.34
242;95.18;98.58;95.8;93.74;112.05
243;94.96;98.53;95.53;93.73;111.14
244;94.71;98.08;95.24;93.68;110.33
245;94.58;97.92;95.18;93.25;110.23
246;94.0;97.85;93.3;93.18;110.19
247;93.99;97.76;93.03;92.91;109.99
248;93.9;97.46;92.62;92.89;109.33
