;0;0
0;291.28;291.28
1;276.13;276.13
2;264.22;262.71
3;257.3;255.38
4;250.64;249.35
5;243.91;245.23
6;238.61;241.9
7;231.82;236.34
8;224.99;230.8
9;219.43;229.11
